ind_num,ID,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,leaf_num,leaf.length,leaflet.length,number.of.leaflets,country,province.state,location,latitude,longitude,scale,herbarium,date,collector,collection.no,coordinate.notes,measurer_note
11,1529409,1931,Africa,mainland,other,,,,3,40.325,7.799,14,Namibia,,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Smithsonian,5-Apr-31,"Sordahl, L. O.",105,,
12,1529451,1930,Africa,mainland,other,,,,1,45.937,12.633,14,Namibia,,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Smithsonian,Mar 1930 to May 1931,"Sordahl, L. O.",6433,,
13,1529451,1930,Africa,mainland,other,,,,2,38.082,10.328,16,Namibia,,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Smithsonian,Mar 1930 to May 1931,"Sordahl, L. O.",6433,,1 leaf down the flower
14,2776546,1968,Africa,island,other,Aldabra,,,1,46.266,14.178,10,Seychelles,,Aldabra: West Island. Settlement.,-9.381938,46.218295,21.2513,Smithsonian,20-Mar-68,"Renvoize, S. A.",1351,,
15,2776547,1967,Africa,island,other,Assumption,,,1,31.654,11.171,10,Seychelles,,South-West Indian Ocean. Assumption Island. Traverse of island.,-9.729705,46.514756,21.2513,Smithsonian,16-Sep-67,"Stoddart, D. R.",1080,,
16,2776548,1968,Africa,island,other,Cosmoledo,,,1,39.945,8.685,12,Seychelles,,Aldabra. Cosmoledo: Wizard Island.,-9.719911,47.577558,21.2513,Smithsonian,6-Mar-68,"Renvoize, S. A.",1225,,
17,2810786,1974,Africa,mainland,other,,,,1,25.435,7.793,14,Tanzania,Dar es Salaam,Ras Chokir (beach between hospital and state House).,-6.787632,39.277742,21.2513,Smithsonian,11-Aug-74,"Frazier, J.",1074,,
18,2810786,1974,Africa,mainland,other,,,,2,29.54,8.506,14,Tanzania,Dar es Salaam,Ras Chokir (beach between hospital and state House).,-6.787632,39.277742,21.2513,Smithsonian,11-Aug-74,"Frazier, J.",1074,,
19,2810861,1974,Africa,mainland,other,,,,1,18.289,5.926,12,Tanzania,Tanga,"Mbigiri (Zanzitari) South of Mto Kama, 12 km south of Mkwaja Tanga Region.",-5.093046,39.0947,21.2513,Smithsonian,13-Sep-74,"Frazier, J.",1117,,
20,3145,1934,Africa ,island,other,Barlavento Islands,,,1,29.794,6.929,14,Cape Verde,,"Monte Verde, São Vicente island",16.8684276,-24.9329397,18.2528,HUH,17-Oct,Max Dinklage,3145,,
21,09.31.45 228,1964,Africa ,mainland,other,,,,1,32.151,10.633,15,Ghana,Greater Accra,"Ring road roundabout, Accra ",5.5912087,-0.1797295,18.2528,HUH,31-May,A.A. Ruti,,,leaf at first node
22,09.31.45 228,1964,Africa ,mainland,other,,,,2,15.655,4.546,14,Ghana,Greater Accra,"Ring road roundabout, Accra ",5.5912087,-0.1797295,18.2528,HUH,31-May,A.A. Ruti,,,leaf at first node
23,09.31.45 228,1964,Africa ,mainland,other,,,,3,19.357,5.956,13,Ghana,Greater Accra,"Ring road roundabout, Accra ",5.5912087,-0.1797295,18.2528,HUH,31-May,A.A. Ruti,,,estimated where flower was to find leaf 
24,09.31.36 226,1973,Africa ,island,other,Tanzanian archipelago of Zanzibar,,,1,31.666,8.346,10,Tanzania ,Rufiji ," Shungu Mbili, a private Island just off Mafia Island ",-7.7,39.683333,18.2528,HUH,31-Oct,J. Frazier,,Provided with DDM coordinates,leaf at first node- rest of leaves bunched together 
25,09.31.39 227,1974,Africa ,mainland,other,Tanzanian archipelago of Zanzibar,,,1,15.229,5.404,12,Tanzania ,Zanzibar ,"South of Mto Kama, 12km south of Mkwaja Tanga region",NA,NA,18.2528,HUH,13-Sep,J. Frazier,1117,Unclear about location,
26,2324,1953,Asia,island,other,Philippines,,,1,37.48,10.314,11,Philippines,,,NA,NA,18.2528,HUH,3-Apr,,,,
27,2324,1953,Asia,island,other,Philippines,,,2,41.194,10.51,14,Philippines,,,NA,NA,18.2528,HUH,3-Apr,,,,
28,706203,1908,Asia,island,other,Philippines,,,1,34.441,9.22,14,Philippines,,Tayabas.,14.040984,121.630902,21.2584,Smithsonian,Apr,"Curran, H. M.",Forestry Bureau 1115,,
29,706203,1908,Asia,island,other,Philippines,,,2,32.925,8.776,11,Philippines,,Tayabas.,14.040984,121.630902,21.2584,Smithsonian,Apr,"Curran, H. M.",Forestry Bureau 1115,,
30,1725,1958,Asia,island,other,Sri Lanka,,,1,28.6,9.589,10,Sri Lanka,,"Peradeniya, Ceylon",NA,NA,18.2528,HUH,23-May,D.M.A Jayaweera,1725,Location unclear,
31,2698458,1970,Asia,island,other,Sri Lanka,,,1,25.204,6.835,12,Sri Lanka,,"Ceylon, Kandy District, Between Kandy and Peradeniya, Planted in front of Maternity Home.",7.281163,80.616968,21.2513,Smithsonian,8-Nov-70,"Fosberg, F. R.",52700,,1 leaf down the flower
32,2698458,1970,Asia,island,other,Sri Lanka,,,2,25.899,7.627,12,Sri Lanka,,"Ceylon, Kandy District, Between Kandy and Peradeniya, Planted in front of Maternity Home.",7.281163,80.616968,21.2513,Smithsonian,8-Nov-70,"Fosberg, F. R.",52700,,1 leaf down the flower
33,2698458,1970,Asia,island,other,Sri Lanka,,,3,40.143,9.677,12,Sri Lanka,,"Ceylon, Kandy District, Between Kandy and Peradeniya, Planted in front of Maternity Home.",7.281163,80.616968,21.2513,Smithsonian,8-Nov-70,"Fosberg, F. R.",52700,,
34,2721838,1970,Asia,island,other,Sri Lanka,,,1,29.478,6.904,12,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.289546,80.624859,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,,
35,2721838,1970,Asia,island,other,Sri Lanka,,,2,35.943,8.367,14,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.289546,80.624859,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,,
36,2721838,1970,Asia,island,other,Sri Lanka,,,3,36.361,10.542,12,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.289546,80.624859,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,,
37,2760454,1969,Asia,island,other,Sri Lanka,,,1,21.985,6.048,12,Sri Lanka,,"Ceylon, Colombo, Planted as an ornamental in U.S. Embassy grounds.",6.91317,79.848433,21.2513,Smithsonian,20-Dec-69,"Fosberg, F. R.",51786,,
38,2760454,1969,Asia,island,other,Sri Lanka,,,2,20.214,5.6,12,Sri Lanka,,"Ceylon, Colombo, Planted as an ornamental in U.S. Embassy grounds.",6.91317,79.848433,21.2513,Smithsonian,20-Dec-69,"Fosberg, F. R.",51786,,
39,2760454,1969,Asia,island,other,Sri Lanka,,,3,19.502,5.547,12,Sri Lanka,,"Ceylon, Colombo, Planted as an ornamental in U.S. Embassy grounds.",6.91317,79.848433,21.2513,Smithsonian,20-Dec-69,"Fosberg, F. R.",51786,,
40,2762794,1970,Asia,island,other,Sri Lanka,,,1,40.791,10.106,12,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.292604,80.630697,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,,
41,2762794,1970,Asia,island,other,Sri Lanka,,,2,34.173,9.84,12,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.292604,80.630697,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,,
42,2762794,1970,Asia,island,other,Sri Lanka,,,3,31.333,7.492,12,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.292604,80.630697,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,,
43,2832148,1977,Asia,island,other,Sri Lanka,,,1,26.325,6.43,12,Sri Lanka,,"Ceylon, Anuradhapura District, Haberama, Planted in garden in hotel grounds near tank.",8.032151,80.752528,21.2513,Smithsonian,30-Nov-77,"Fosberg, F. R.; Jayasinghe, P.",57014,,
44,2832148,1977,Asia,island,other,Sri Lanka,,,2,24.587,5.67,12,Sri Lanka,,"Ceylon, Anuradhapura District, Haberama, Planted in garden in hotel grounds near tank.",8.032151,80.752528,21.2513,Smithsonian,30-Nov-77,"Fosberg, F. R.; Jayasinghe, P.",57014,,
45,2889416,1978,Asia,island,other,Sri Lanka,,,1,35.674,8.503,12,Sri Lanka,Central,"Matale Distr., outskirt of Matale.",7.458651,80.625407,21.2513,Smithsonian,27-Apr-78,"Soejarto, D. D.",4835,,
46,2889416,1978,Asia,island,other,Sri Lanka,,,2,30.566,7.817,14,Sri Lanka,Central,"Matale Distr., outskirt of Matale.",7.458651,80.625407,21.2513,Smithsonian,27-Apr-78,"Soejarto, D. D.",4835,,
47,2889416,1978,Asia,island,other,Sri Lanka,,,3,32.29,7.766,12,Sri Lanka,Central,"Matale Distr., outskirt of Matale.",7.458651,80.625407,21.2513,Smithsonian,27-Apr-78,"Soejarto, D. D.",4835,,
48,4445,1973,Oceania,island,other,,,,1,45.701,11.511,16,Australia,Queensland,East Hope Island,-15.44,145.466667,18.2528,HUH,4-Sep,D.R Stoddart,4445,DDM coordinates provided,leaf at third node- leaflet measured is closer to base than middle (middle ones are laterally folded)
49,491963,1996,Oceania,mainland,other,,,,1,53.811,12.557,18,Australia,Queensland,"Dajarra Rd, 16.3km S of Mt Isa (by air); common along roadside",-20.866667,139.45,18.2528,HUH,27-Mar,A. Fraser,154,Provided with DDM coordinates,
50,491963,1996,Oceania,mainland,other,,,,2,29.417,7.804,18,Australia,Queensland,"Dajarra Rd, 16.3km S of Mt Isa (by air); common along roadside",-20.866667,139.45,18.2528,HUH,27-Mar,A. Fraser,154,Provided with DDM coordinates,
51,491963,1996,Oceania,mainland,other,,,,3,51.423,12.89,18,Australia,Queensland,"Dajarra Rd, 16.3km S of Mt Isa (by air); common along roadside",-20.866667,139.45,18.2528,HUH,27-Mar,A. Fraser,154,Provided with DDM coordinates,
52,2094590,1948,Oceania,island,other,,,,1,38.977,12.427,12,Australia,Northern Territory,"Arnhem Land Aboriginal Reserve. Hemple Bay, Groote Eylandt, in the Gulf of Carpentaria.",-13.064283,133.984394,21.2513,Smithsonian,28-Apr-48,"Specht, R. L.",293,,
53,2094590,1948,Oceania,island,other,,,,2,32.55,10.573,10,Australia,Northern Territory,"Arnhem Land Aboriginal Reserve. Hemple Bay, Groote Eylandt, in the Gulf of Carpentaria.",-13.064283,133.984394,21.2513,Smithsonian,28-Apr-48,"Specht, R. L.",293,,
54,2094745,1948,Oceania,island,other,,,,1,57.335,13.755,14,Australia,Northern Territory,"Arnhem Land Aboriginal Reserve. South Bay, Bickerton Island, in the Gulf of Carpentaria.",-13.064283,133.984394,21.2513,Smithsonian,9-Jun-48,"Specht, R. L.",502,,
55,2094959,1948,Oceania,mainland,other,,,,1,29.997,9.578,14,Australia,Northern Territory,Arnhem Land Aboriginal Reserve. Yirrkala. On seaward edge of coastal dune.,-13.064283,133.984394,21.2513,Smithsonian,5-Aug-48,"Specht, R. L.",826,,
56,1969031,1948,Oceania,island,other,New Caledonia,,,1,25.231,5.852,14,New Caledonia,,"Lawn of cottages, I. F. O., Anse Vata beach, Noumea.",-22.299596,166.440988,21.2513,Smithsonian,23-Mar-48,"Buchholz, J. T.",1780,,
57,1969031,1948,Oceania,island,other,New Caledonia,,,2,23.182,5.998,14,New Caledonia,,"Lawn of cottages, I. F. O., Anse Vata beach, Noumea.",-22.299596,166.440988,21.2513,Smithsonian,23-Mar-48,"Buchholz, J. T.",1780,,
58,1969031,1948,Oceania,island,other,New Caledonia,,,3,23.85,6.241,14,New Caledonia,,"Lawn of cottages, I. F. O., Anse Vata beach, Noumea.",-22.299596,166.440988,21.2513,Smithsonian,23-Mar-48,"Buchholz, J. T.",1780,,
59,1136,1937,North America,island,other,Leeward Islands,,,1,23.134,6.417,,Antigua and Barbuda,,"Hawes Island, among low grasses on dry calcareous soil",17.1166664,-61.7333333,18.2528,HUH,5-Oct,Harold. E Box,1136,,"leaf at first node, can't count all leaflets"
60,1136,1937,North America,island,other,Leeward Islands,,,2,13.544,5.488,11,Antigua and Barbuda,,"Hawes Island, among low grasses on dry calcareous soil",17.1166664,-61.7333333,18.2528,HUH,5-Oct,Harold. E Box,1136,,leaf at first node- bit small comparatively 
61,1714073,1937,North America,island,other,Hawes island,,,1,21.862,7.249,12,Antigua and Barbuda,,"Hawes Island, among few grasses on dry calcareus soil, race confined to one restricted locality",17.112791,-61.727886,21.2513,Smithsonian,5-Oct-37,"Box, H. E.",1136 Dupl.,,
62,1714073,1937,North America,island,other,Hawes island,,,2,18.898,5.6,12,Antigua and Barbuda,,"Hawes Island, among few grasses on dry calcareus soil, race confined to one restricted locality",17.112791,-61.727886,21.2513,Smithsonian,5-Oct-37,"Box, H. E.",1136 Dupl.,,
63,1714073,1937,North America,island,other,Hawes island,,,3,18.638,5.76,14,Antigua and Barbuda,,"Hawes Island, among few grasses on dry calcareus soil, race confined to one restricted locality",17.112791,-61.727886,21.2513,Smithsonian,5-Oct-37,"Box, H. E.",1136 Dupl.,,
64,36,1962,North America,island,other,The Bahamas  (Lucayan Archipelago),,,1,29.665,8.447,16,Bahamas,Inagua,Herbs in horse yards and waste places around Matthewtown,20.9420004,-73.6693812,18.2528,HUH,5-Jan,Henry Dunbar,36,,
65,36,1962,North America,island,other,The Bahamas  (Lucayan Archipelago),,,2,29.09,6.07,16,Bahamas,Inagua,Herbs in horse yards and waste places around Matthewtown,20.9420004,-73.6693812,18.2528,HUH,5-Jan,Henry Dunbar,36,,
66,36,1962,North America,island,other,The Bahamas  (Lucayan Archipelago),,,3,27.393,7.649,15,Bahamas,Inagua,Herbs in horse yards and waste places around Matthewtown,20.9420004,-73.6693812,18.2528,HUH,5-Jan,Henry Dunbar,36,,leaf at first node 
67,1006,1973,North America,island,other,The Bahamas  (Lucayan Archipelago),,,1,35.46,9.433,16,Bahamas,Inagua,"Holy Family church grounds, Mathewtown, Inagua",20.9420004,-73.6693812,18.2528,HUH,18-Feb,"Walter Carbin SSJ, ",1006,"Could not find actual church, so coordinates for Mathewtown",leaf at first node
68,1006,1973,North America,island,other,The Bahamas  (Lucayan Archipelago),,,2,44.512,12.235,,Bahamas,Inagua,"Holy Family church grounds, Mathewtown, Inagua",20.9420004,-73.6693812,18.2528,HUH,18-Feb,"Walter Carbin SSJ, ",1006,"Could not find actual church, so coordinates for Mathewtown","leaf at third, can't count all leaflets"
69,2132155,1952,North America,island,other,New Providence,,,1,31.537,6.991,14,Bahamas,,Along roadside on E of island,25.040249,-77.337173,21.2513,Smithsonian,3 Sep 1952 to 5 Sep 1952,"von Reis, S.",219,,
70,2432300,1960,North America,island,other,New Providence,,,1,26.985,5.234,16,Bahamas,,"sandy areas, Cable Beach",25.077913,-77.411604,21.2513,Smithsonian,5-Aug-60,"Webster, G. L.",10856,,
71,2432300,1960,North America,island,other,New Providence,,,2,34.099,8.763,16,Bahamas,,"sandy areas, Cable Beach",25.077913,-77.411604,21.2513,Smithsonian,5-Aug-60,"Webster, G. L.",10856,,
72,3004274,1977,North America,island,other,Bahamas,,,1,49.956,13.695,14,Bahamas,,Grand Turk: along beach playa on edge of town,22.864683,-74.788289,21.2513,Smithsonian,28-Nov-77,"Correll, D. S.",49177,,
73,3004274,1977,North America,island,other,Bahamas,,,2,33.24,4.767,18,Bahamas,,Grand Turk: along beach playa on edge of town,22.864683,-74.788289,21.2513,Smithsonian,28-Nov-77,"Correll, D. S.",49177,,
74,3640024,1977,North America,island,other,New Providence,,,1,36.447,7.943,16,Bahamas,New Providence,"New Providence: about old prison, Fort Charlotte, Nassau.",25.032287,-77.404644,21.2513,Smithsonian,22-Mar-77,"Correll, D. S.; Correll, H. B.",48234,,
75,3640024,1977,North America,island,other,New Providence,,,2,35.884,7.885,16,Bahamas,New Providence,"New Providence: about old prison, Fort Charlotte, Nassau.",25.032287,-77.404644,21.2513,Smithsonian,22-Mar-77,"Correll, D. S.; Correll, H. B.",48234,,
76,09.19.46 114,1962,North America,island,other,The Bahamas  (Lucayan Archipelago),,,1,41.281,9.875,16,Bahamas,,"Sandy gravel on boardwalk in front of the British Colonial Hotel, Nassu, New Providence Island",25.0779178,-77.3457637,18.2528,HUH,26-Dec,E.V Parsegian,,Coordinates for hotel ,leaf at third node
77,09.19.46 114,1962,North America,island,other,The Bahamas  (Lucayan Archipelago),,,2,32.271,7.952,16,Bahamas,,"Sandy gravel on boardwalk in front of the British Colonial Hotel, Nassu, New Providence Island",25.0779178,-77.3457637,18.2528,HUH,26-Dec,E.V Parsegian,,Coordinates for hotel ,leaf at first node
78,09.19.49 115,,North America,island,other,The Bahamas  (Lucayan Archipelago),,,2,22.648,7.192,12,Bahamas,,Bahama Islands ,24.4344686,-75.9667161,18.2528,HUH,,Henry Bryaul,,No specified location within country,stem broken but both parts visible (measurements added together)
79,756798,1913,North America,island,other,Virgin Gorda Island,,,1,29.511,11.401,12,British Virgin Islands,Virgin Gorda,Valley,18.479177,-64.403025,21.2459,Smithsonian,21-Feb-13,"Britton, N. L.; Fishlock, W. C.",1066,,
80,756798,1913,North America,island,other,Virgin Gorda Island,,,2,24.352,7.989,12,British Virgin Islands,Virgin Gorda,Valley,18.479177,-64.403025,21.2459,Smithsonian,21-Feb-13,"Britton, N. L.; Fishlock, W. C.",1066,,
81,1048056,1919,North America,island,other,Tortola Island,,,1,30.721,10.157,14,British Virgin Islands,Tortola,West End,18.411604,-64.663472,21.2513,Smithsonian,22-May-19,"Fishlock, W. C.",437,,
82,1048056,1919,North America,island,other,Tortola Island,,,2,41.665,11.949,14,British Virgin Islands,Tortola,West End,18.411604,-64.663472,21.2513,Smithsonian,22-May-19,"Fishlock, W. C.",437,,
83,1048056,1919,North America,island,other,Tortola Island,,,3,38.489,12.294,14,British Virgin Islands,Tortola,West End,18.411604,-64.663472,21.2513,Smithsonian,22-May-19,"Fishlock, W. C.",437,,
84,361,1902,North America,island,other,,,,1,17.31,6.015,12,Cuba,Santiago de Cuba,Vicinity of Santiago city,20.0243361,-75.8260967,18.2528,HUH,,Edward Palmer,361,,
85,566,1904,North America,island,other,,,,1,52.056,13.292,14,Cuba,La Habana,Waste ground near Havana Cuba,23.0506867,-82.3330021,18.2528,HUH,Dec,A.H Curtiss,566,,
86,566,1904,North America,island,other,,,,2,32.799,8.981,14,Cuba,La Habana,Waste ground near Havana Cuba,23.0506867,-82.3330021,18.2528,HUH,Dec,A.H Curtiss,566,,
87,6511,1949,North America,island,other,,,,1,13.053,4.042,10,Cuba, La Habana,"In the streets, Vista Alegre, Santiago Havana",23.1330881,-82.3704083,18.2528,HUH,Mar,Bro. Clemente,6511,"Can't find the specific neighbourhood on maps, coordinates for Santiago",
88,6511,1949,North America,island,other,,,,2,29.104,9.207,10,Cuba, La Habana,"In the streets, Vista Alegre, Santiago Havana",23.1330881,-82.3704083,18.2528,HUH,Mar,Bro. Clemente,6511,"Can't find the specific neighbourhood on maps, coordinates for Santiago",
89,14151,1800,North America,island,other,Cuba,,,1,28.847,7.657,16,Cuba,,,21.913806,-78.78432,21.2518,Smithsonian,1800 to 1899,"Wright, C.",s.n.,,1 leaf down the flower
90,372767,1900,North America,island,other,Cuba,,,1,33.686,8.47,14,Cuba,Pinar del Rio,Pinar del Rio,22.421178,-83.691508,21.2551,Smithsonian,11-May-00,"Palmer, W.; Riley, J. H.",742,,3 leaf down the flower
91,372767,1900,North America,island,other,Cuba,,,2,26.991,6.78,16,Cuba,Pinar del Rio,Pinar del Rio,22.421178,-83.691508,21.2551,Smithsonian,11-May-00,"Palmer, W.; Riley, J. H.",742,,
92,403124,1902,North America,island,other,Cuba,,,1,20.864,7.379,12,Cuba,Santiago de Cuba [Oriente],Santiago de Cuba [Oriente],20.024926,-75.828854,21.2551,Smithsonian,15 Feb 1902 to 24 Feb 1902,"Palmer, D. E.",361,,
93,403124,1902,North America,island,other,Cuba,,,2,17.997,6.579,12,Cuba,Santiago de Cuba [Oriente],Santiago de Cuba [Oriente],20.024926,-75.828854,21.2551,Smithsonian,15 Feb 1902 to 24 Feb 1902,"Palmer, D. E.",361,,
94,403124,1902,North America,island,other,Cuba,,,3,15.383,5.915,12,Cuba,Santiago de Cuba [Oriente],Santiago de Cuba [Oriente],20.024926,-75.828854,21.2551,Smithsonian,15 Feb 1902 to 24 Feb 1902,"Palmer, D. E.",361,,
95,522184,1904,North America,island,other,Cuba,,,1,35.046,8.803,14,Cuba,La Habana,"waste ground; near Havana, Cuba",23.107092,-82.363969,21.2551,Smithsonian,Dec,"Curtiss, A. H.",566,,
96,522184,1904,North America,island,other,Cuba,,,2,52.046,15.465,14,Cuba,La Habana,"waste ground; near Havana, Cuba",23.107092,-82.363969,21.2551,Smithsonian,Dec,"Curtiss, A. H.",566,,
97,2599739,,North America,island,other,Cuba,,,1,53.576,10.879,18,Cuba,,,21.913806,-78.78432,21.2513,Smithsonian,,"Seru, P.",s.n.,,
98,09.17.31 90,1860,North America,island,other,,,,1,52.14,10.415,16,Cuba,,,21.5152501,-79.5630001,18.2528,HUH,,C. Wright,,Coordinates for cuba as a whole due to no specific location or area on island,
99,09.17.31 90,1860,North America,island,other,,,,2,24.312,7.229,15,Cuba,,,21.5152501,-79.5630001,18.2528,HUH,,C. Wright,,Coordinates for cuba as a whole due to no specific location or area on island,
100,09.17.31 90,1860,North America,island,other,,,,3,36.115,8.399,15,Cuba,,,21.5152501,-79.5630001,18.2528,HUH,,C. Wright,,Coordinates for cuba as a whole due to no specific location or area on island,"leaf at first node- only one available, no other leaves"
101,22,1921,North America,island,other,Greater Antilles,,,1,19.597,4.854,15,Dominican Republic,San Cristóbal,Haina,18.4135494,-70.032562,18.2528,HUH,23-Mar,James A. Faris,22,,
102,204,1970,North America,island,other,Greater Antilles ,,,1,42.009,13.006,18,Dominican Republic,Pedernales ,On roadside or in temporary catch basin ,17.95,-71.583333,18.2528,HUH,17-Jan,J. Terborgh,204,Provided with DDM coordinates,"leaf segmented from stem, but can see attachment point "
103,3902,1913,North America,island,other,Greater Antilles,,,1,36.227,9.391,16,Dominican Republic,Azua,Santo Domingo ,18.4800424,-69.94688,18.2528,HUH,Mar,"J.N Rose, WM. R Fitch, Paul G. Russel ",3902,,
104,8414,1946,North America,island,other,Greater Antilles,,,1,25.783,8.255,14,Dominican Republic,Barahona,Common of gardens and lawns (city of Barahona),18.2101516,-71.1032312,18.2528,HUH,17-Aug,"R.A Howard, E.S Howard",8414,,
105,8414,1946,North America,island,other,Greater Antilles,,,2,25.128,8.314,14,Dominican Republic,Barahona,Common of gardens and lawns (city of Barahona),18.2101516,-71.1032312,18.2528,HUH,17-Aug,"R.A Howard, E.S Howard",8414,,
106,8414,1946,North America,island,other,Greater Antilles,,,3,26.178,7.188,15,Dominican Republic,Barahona,Common of gardens and lawns (city of Barahona),18.2101516,-71.1032312,18.2528,HUH,17-Aug,"R.A Howard, E.S Howard",8414,,
107,9565,1946,North America,island,other,Greater Antilles ,,,1,32.82,9.171,16,Dominican Republic,Monte Cristi,"In thorn shrub area, near Yaque Del Norte River S of Monte Cristi",19.8452355,-71.6446352,18.2528,HUH,23-Oct,"R.A Howard, E.S Howard",9565,Monte Cristi capital,
108,760038,1913,North America,island,other,Hispaniola,,,1,24.393,7.071,16,Dominican Republic,Azua,"Azua, Santo Domingo.",18.827827,-70.850376,21.2451,Smithsonian,Mar,"Rose, J. N.; Fitch, W. R.; Russell, P. G.",3902,,
109,760038,1913,North America,island,other,Hispaniola,,,2,13.858,8.572,8,Dominican Republic,Azua,"Azua, Santo Domingo.",18.827827,-70.850376,21.2451,Smithsonian,Mar,"Rose, J. N.; Fitch, W. R.; Russell, P. G.",3902,,
110,760038,1913,North America,island,other,Hispaniola,,,3,38.856,9.47,18,Dominican Republic,Azua,"Azua, Santo Domingo.",18.827827,-70.850376,21.2451,Smithsonian,Mar,"Rose, J. N.; Fitch, W. R.; Russell, P. G.",3902,,
111,1078125,1921,North America,island,other,Hispaniola,,,1,29.382,7.907,16,Dominican Republic,San Cristóbal,Haina.,18.417865,-70.032734,21.2513,Smithsonian,23-Mar-21,"Faris, J. A.",22,,
112,1078844,1921,North America,island,other,Hispaniola,,,1,46.291,12.169,16,Dominican Republic,Montecristi,Guayubín.,19.672857,-71.393656,21.2513,Smithsonian,13 Feb 1921 to 21 Feb 1921,"Abbott, W. L.",891,,
113,1078844,1921,North America,island,other,Hispaniola,,,2,41.325,10.864,16,Dominican Republic,Montecristi,Guayubín.,19.672857,-71.393656,21.2513,Smithsonian,13 Feb 1921 to 21 Feb 1921,"Abbott, W. L.",891,,
114,1078844,1921,North America,island,other,Hispaniola,,,3,37.769,10.556,16,Dominican Republic,Montecristi,Guayubín.,19.672857,-71.393656,21.2513,Smithsonian,13 Feb 1921 to 21 Feb 1921,"Abbott, W. L.",891,,
