ID,flower.no,petal_length,mainland_island,island_group,galapagos_island,galapagos_Other,finch_beak,year_collected,continent,country,province.state,location,latitude,longitude,scale,Herbarium,collection.date,collector,collection.no,Coordinate.notes,Measurer_note
706203,1,16.4,island,Philippines,,no,,1908,Asia,Philippines,,Tayabas.,14.040984,121.630902,21.2584,Smithsonian,Apr,"Curran, H. M.",Forestry Bureau 1115,,NA
706203,2,16.279,island,Philippines,,no,,1908,Asia,Philippines,,Tayabas.,14.040984,121.630902,21.2584,Smithsonian,Apr,"Curran, H. M.",Forestry Bureau 1115,,NA
1725,1,14.14,island,Sri Lanka,,no,,1958,Asia,Sri Lanka,,"Peradeniya, Ceylon",NA,NA,18.2528,HUH,23-May,D.M.A Jayaweera,1725,Grown in cultivation,Assumed originally colelcted from Sri Lanka
2698458,1,22.1,island,Sri Lanka,,no,,1970,Asia,Sri Lanka,,"Ceylon, Kandy District, Between Kandy and Peradeniya, Planted in front of Maternity Home.",7.281163,80.616968,21.2513,Smithsonian,8-Nov-70,"Fosberg, F. R.",52700,,NA
2698458,2,20.472,island,Sri Lanka,,no,,1970,Asia,Sri Lanka,,"Ceylon, Kandy District, Between Kandy and Peradeniya, Planted in front of Maternity Home.",7.281163,80.616968,21.2513,Smithsonian,8-Nov-70,"Fosberg, F. R.",52700,,NA
2698458,3,20.116,island,Sri Lanka,,no,,1970,Asia,Sri Lanka,,"Ceylon, Kandy District, Between Kandy and Peradeniya, Planted in front of Maternity Home.",7.281163,80.616968,21.2513,Smithsonian,8-Nov-70,"Fosberg, F. R.",52700,,NA
2721838,1,18.992,island,Sri Lanka,,no,,1970,Asia,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.289546,80.624859,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,,NA
2721838,2,17.761,island,Sri Lanka,,no,,1970,Asia,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.289546,80.624859,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,,NA
2721838,3,16.904,island,Sri Lanka,,no,,1970,Asia,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.289546,80.624859,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,,NA
2760454,1,19.677,island,Sri Lanka,,no,,1969,Asia,Sri Lanka,,"Ceylon, Colombo, Planted as an ornamental in U.S. Embassy grounds.",6.91317,79.848433,21.2513,Smithsonian,20-Dec-69,"Fosberg, F. R.",51786,,NA
2760454,2,22.438,island,Sri Lanka,,no,,1969,Asia,Sri Lanka,,"Ceylon, Colombo, Planted as an ornamental in U.S. Embassy grounds.",6.91317,79.848433,21.2513,Smithsonian,20-Dec-69,"Fosberg, F. R.",51786,,NA
2760454,3,21.647,island,Sri Lanka,,no,,1969,Asia,Sri Lanka,,"Ceylon, Colombo, Planted as an ornamental in U.S. Embassy grounds.",6.91317,79.848433,21.2513,Smithsonian,20-Dec-69,"Fosberg, F. R.",51786,,NA
2762794,1,16.311,island,Sri Lanka,,no,,1970,Asia,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.292604,80.630697,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,,NA
2762794,2,16.42,island,Sri Lanka,,no,,1970,Asia,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.292604,80.630697,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,,NA
2832148,1,17.236,island,Sri Lanka,,no,,1977,Asia,Sri Lanka,,"Ceylon, Anuradhapura District, Haberama, Planted in garden in hotel grounds near tank.",8.032151,80.752528,21.2513,Smithsonian,30-Nov-77,"Fosberg, F. R.; Jayasinghe, P.",57014,,NA
2832148,2,20.566,island,Sri Lanka,,no,,1977,Asia,Sri Lanka,,"Ceylon, Anuradhapura District, Haberama, Planted in garden in hotel grounds near tank.",8.032151,80.752528,21.2513,Smithsonian,30-Nov-77,"Fosberg, F. R.; Jayasinghe, P.",57014,,NA
2832148,3,20.276,island,Sri Lanka,,no,,1977,Asia,Sri Lanka,,"Ceylon, Anuradhapura District, Haberama, Planted in garden in hotel grounds near tank.",8.032151,80.752528,21.2513,Smithsonian,30-Nov-77,"Fosberg, F. R.; Jayasinghe, P.",57014,,NA
2889416,1,18.504,island,Sri Lanka,,no,,1978,Asia,Sri Lanka,Central,"Matale Distr., outskirt of Matale.",7.458651,80.625407,21.2513,Smithsonian,27-Apr-78,"Soejarto, D. D.",4835,,NA
2889416,2,22.289,island,Sri Lanka,,no,,1978,Asia,Sri Lanka,Central,"Matale Distr., outskirt of Matale.",7.458651,80.625407,21.2513,Smithsonian,27-Apr-78,"Soejarto, D. D.",4835,,NA
2889416,3,20.732,island,Sri Lanka,,no,,1978,Asia,Sri Lanka,Central,"Matale Distr., outskirt of Matale.",7.458651,80.625407,21.2513,Smithsonian,27-Apr-78,"Soejarto, D. D.",4835,,NA
4445,1,11.667,island,,,no,,1973,Oceania,Australia,Queensland,East Hope Island,14.733333,145.466667,18.2528,HUH,4-Sep,D.R Stoddart,4445,DDM coordinates provided,only flower
491963,1,11.205,mainland,,,,,1996,Oceania,Australia,Queensland,"Dajarra Rd, 16.3km S of Mt Isa (by air); common along roadside",-20.866667,139.45,18.2528,HUH,27-Mar,A. Fraser,154,Provided with DDM coordinates,
491963,2,12.027,mainland,,,,,1996,Oceania,Australia,Queensland,"Dajarra Rd, 16.3km S of Mt Isa (by air); common along roadside",-20.866667,139.45,18.2528,HUH,27-Mar,A. Fraser,154,Provided with DDM coordinates,
491963,3,10.931,mainland,,,,,1996,Oceania,Australia,Queensland,"Dajarra Rd, 16.3km S of Mt Isa (by air); common along roadside",-20.866667,139.45,18.2528,HUH,27-Mar,A. Fraser,154,Provided with DDM coordinates,
1136,1,15.942,island,Leeward Islands,,no,,1937,North America,Antigua and Barbuda,,"Hawes Island, among low grasses on dry calcareous soil",17.1166664,-61.7333333,18.2528,HUH,5-Oct,Harold. E Box,1136,,
1136,2,16.01,island,Leeward Islands,,no,,1937,North America,Antigua and Barbuda,,"Hawes Island, among low grasses on dry calcareous soil",17.1166664,-61.7333333,18.2528,HUH,5-Oct,Harold. E Box,1136,,
1714073,1,19.199,island,Hawes island,,no,,1937,North America,Antigua and Barbuda,,"Hawes Island, among few grasses on dry calcareus soil, race confined to one restricted locality",17.112791,-61.727886,21.2513,Smithsonian,5-Oct-37,"Box, H. E.",1136 Dupl.,,NA
1714073,2,13.474,island,Hawes island,,no,,1937,North America,Antigua and Barbuda,,"Hawes Island, among few grasses on dry calcareus soil, race confined to one restricted locality",17.112791,-61.727886,21.2513,Smithsonian,5-Oct-37,"Box, H. E.",1136 Dupl.,,NA
1714073,3,12.989,island,Hawes island,,no,,1937,North America,Antigua and Barbuda,,"Hawes Island, among few grasses on dry calcareus soil, race confined to one restricted locality",17.112791,-61.727886,21.2513,Smithsonian,5-Oct-37,"Box, H. E.",1136 Dupl.,,NA
36,1,17.335,island,The Bahamas  (Lucayan Archipelago),,no,,1962,North America,Bahamas,Inagua,Herbs in horse yards and waste places around Matthewtown,20.9420004,-73.6693812,18.2528,HUH,5-Jan,Henry Dunbar,36,,
36,2,16.937,island,The Bahamas  (Lucayan Archipelago),,no,,1962,North America,Bahamas,Inagua,Herbs in horse yards and waste places around Matthewtown,20.9420004,-73.6693812,18.2528,HUH,5-Jan,Henry Dunbar,36,,
36,3,18.304,island,The Bahamas  (Lucayan Archipelago),,no,,1962,North America,Bahamas,Inagua,Herbs in horse yards and waste places around Matthewtown,20.9420004,-73.6693812,18.2528,HUH,5-Jan,Henry Dunbar,36,,
935,1,14.611,island,The Bahamas  (Lucayan Archipelago),,no,,1963,North America,Bahamas,,"Nassau, New Providence Island",25.0325606,-77.4070931,18.2528,HUH,16-Aug,N.L.H Krauss,935,,no measurable associated leaf
935,2,15.351,island,The Bahamas  (Lucayan Archipelago),,no,,1963,North America,Bahamas,,"Nassau, New Providence Island",25.0325606,-77.4070931,18.2528,HUH,16-Aug,N.L.H Krauss,935,,no measurable associated leaf
1006,1,16.357,island,The Bahamas  (Lucayan Archipelago),,no,,1973,North America,Bahamas,Inagua,"Holy Family church grounds, Mathewtown, Inagua",20.9420004,-73.6693812,18.2528,HUH,18-Feb,"Walter Carbin SSJ, ",1006,"Could not find actual church, so coordinates for Mathewtown",
1006,2,15.38,island,The Bahamas  (Lucayan Archipelago),,no,,1973,North America,Bahamas,Inagua,"Holy Family church grounds, Mathewtown, Inagua",20.9420004,-73.6693812,18.2528,HUH,18-Feb,"Walter Carbin SSJ, ",1006,"Could not find actual church, so coordinates for Mathewtown",
2132155,1,16.737,island,New Providence,,no,,1952,North America,Bahamas,,Along roadside on E of island,25.040249,-77.337173,21.2513,Smithsonian,3 Sep 1952 to 5 Sep 1952,"von Reis, S.",219,,NA
2432300,1,14.529,island,New Providence,,no,,1960,North America,Bahamas,,"sandy areas, Cable Beach",25.077913,-77.411604,21.2513,Smithsonian,5-Aug-60,"Webster, G. L.",10856,,NA
2432300,2,16.978,island,New Providence,,no,,1960,North America,Bahamas,,"sandy areas, Cable Beach",25.077913,-77.411604,21.2513,Smithsonian,5-Aug-60,"Webster, G. L.",10856,,NA
3004274,1,26.753,island,Bahamas,,no,,1977,North America,Bahamas,,Grand Turk: along beach playa on edge of town,22.864683,-74.788289,21.2513,Smithsonian,28-Nov-77,"Correll, D. S.",49177,,NA
3004274,2,24.816,island,Bahamas,,no,,1977,North America,Bahamas,,Grand Turk: along beach playa on edge of town,22.864683,-74.788289,21.2513,Smithsonian,28-Nov-77,"Correll, D. S.",49177,,NA
3640024,1,20.504,island,New Providence,,no,,1977,North America,Bahamas,New Providence,"New Providence: about old prison, Fort Charlotte, Nassau.",25.032287,-77.404644,21.2513,Smithsonian,22-Mar-77,"Correll, D. S.; Correll, H. B.",48234,,NA
3640024,2,21.35,island,New Providence,,no,,1977,North America,Bahamas,New Providence,"New Providence: about old prison, Fort Charlotte, Nassau.",25.032287,-77.404644,21.2513,Smithsonian,22-Mar-77,"Correll, D. S.; Correll, H. B.",48234,,NA
09.19.46 114,1,21.292,island,The Bahamas  (Lucayan Archipelago),,no,,1962,North America,Bahamas,,"Sandy gravel on boardwalk in front of the British Colonial Hotel, Nassu, New Providence Island",25.0779178,-77.3457637,18.2528,HUH,26-Dec,E.V Parsegian,,Coordinates for hotel ,
09.19.46 114,2,20.253,island,The Bahamas  (Lucayan Archipelago),,no,,1962,North America,Bahamas,,"Sandy gravel on boardwalk in front of the British Colonial Hotel, Nassu, New Providence Island",25.0779178,-77.3457637,18.2528,HUH,26-Dec,E.V Parsegian,,Coordinates for hotel ,
09.19.49 115,1,13.236,island,The Bahamas  (Lucayan Archipelago),,no,,NA,North America,Bahamas,,Bahama Islands ,24.4344686,-75.9667161,18.2528,HUH,,Henry Bryaul,,No specified location within country,no measurable associated leaf
09.19.49 115,2,14.36,island,The Bahamas  (Lucayan Archipelago),,no,,NA,North America,Bahamas,,Bahama Islands ,24.4344686,-75.9667161,18.2528,HUH,,Henry Bryaul,,No specified location within country,
756798,1,18.466,island,Virgin Gorda Island,,no,,1913,North America,British Virgin Islands,Virgin Gorda,Valley,18.479177,-64.403025,21.2459,Smithsonian,21-Feb-13,"Britton, N. L.; Fishlock, W. C.",1066,,NA
1048056,1,15.758,island,Tortola Island,,no,,1919,North America,British Virgin Islands,Tortola,West End,18.411604,-64.663472,21.2513,Smithsonian,22-May-19,"Fishlock, W. C.",437,,NA
361,1,17.479,island,Cuba,,no,,1902,North America,Cuba,Santiago de Cuba,Vicinity of Santiago city,20.0243361,-75.8260967,18.2528,HUH,,Edward Palmer,361,,
566,1,18.762,island,Cuba,,no,,1904,North America,Cuba,La Habana,Waste ground near Havana Cuba,23.0506867,-82.3330021,18.2528,HUH,Dec,A.H Curtiss,566,,
566,2,19.227,island,Cuba,,no,,1904,North America,Cuba,La Habana,Waste ground near Havana Cuba,23.0506867,-82.3330021,18.2528,HUH,Dec,A.H Curtiss,566,,
6511,1,12.967,island,Cuba,,no,,1949,North America,Cuba, La Habana,"In the streets, Vista Alegre, Santiago Havana",23.1330881,-82.3704083,18.2528,HUH,Mar,Bro. Clemente,6511,"Can't find the specific neighbourhood on maps, coordinates for Santiago",
6511,2,17.215,island,Cuba,,no,,1949,North America,Cuba, La Habana,"In the streets, Vista Alegre, Santiago Havana",23.1330881,-82.3704083,18.2528,HUH,Mar,Bro. Clemente,6511,"Can't find the specific neighbourhood on maps, coordinates for Santiago",
14151,1,18.385,island,Cuba,,no,,1800,North America,Cuba,,,21.913806,-78.78432,21.2434,Smithsonian,,"Wright, C.",s.n.,,NA
14151,2,20.057,island,Cuba,,no,,1800,North America,Cuba,,,21.913806,-78.78432,21.2434,Smithsonian,,"Wright, C.",s.n.,,NA
17949,1,13.726,island,Cuba,,no,,1940,North America,Cuba,Oriente ,Maisi,20.2270028,-74.1499257,18.2528,HUH,Jun,Bro. León,17949,,"only measurable flower, no measurable associated leaf (cannot see stem, or count all leaflets) "
372767,1,18.484,island,Cuba,,no,,1900,North America,Cuba,Pinar del Rio,Pinar del Rio,22.421178,-83.691508,21.2518,Smithsonian,11-May-00,"Palmer, W.; Riley, J. H.",742,,NA
372767,2,23.253,island,Cuba,,no,,1900,North America,Cuba,Pinar del Rio,Pinar del Rio,22.421178,-83.691508,21.2518,Smithsonian,11-May-00,"Palmer, W.; Riley, J. H.",742,,NA
403124,1,18.151,island,Cuba,,no,,1902,North America,Cuba,Oriente,Santiago de Cuba [Oriente],20.024926,-75.828854,21.2518,Smithsonian,15 Feb 1902 to 24 Feb 1902,"Palmer, D. E.",361,,NA
403124,2,17.72,island,Cuba,,no,,1902,North America,Cuba,Oriente,Santiago de Cuba [Oriente],20.024926,-75.828854,21.2518,Smithsonian,15 Feb 1902 to 24 Feb 1902,"Palmer, D. E.",361,,NA
522184,1,16.141,island,Cuba,,no,,1904,North America,Cuba,La Habana,"waste ground; near Havana, Cuba",23.107092,-82.363969,21.2518,Smithsonian,Dec,"Curtiss, A. H.",566,,NA
522184,2,20.141,island,Cuba,,no,,1904,North America,Cuba,La Habana,"waste ground; near Havana, Cuba",23.107092,-82.363969,21.2518,Smithsonian,Dec,"Curtiss, A. H.",566,,NA
09.17.31 90,1,23.094,island,Cuba,,no,,1860,North America,Cuba,,,21.5152501,-79.5630001,18.2528,HUH,,C. Wright,,Coordinates for cuba as a whole due to no specific location or area on island,
09.17.31 90,2,17.985,island,Cuba,,no,,1860,North America,Cuba,,,21.5152501,-79.5630001,18.2528,HUH,,C. Wright,,Coordinates for cuba as a whole due to no specific location or area on island,
09.17.31 90,3,18.19,island,Cuba,,no,,1860,North America,Cuba,,,21.5152501,-79.5630001,18.2528,HUH,,C. Wright,,Coordinates for cuba as a whole due to no specific location or area on island,
22,1,22.062,island,Greater Antilles,,no,,1921,North America,Dominican Republic,San Cristóbal,Haina,18.4135494,-70.032562,18.2528,HUH,23-Mar,James A. Faris,22,,
204,1,18.649,island,Greater Antilles,,no,,1970,North America,Dominican Republic,Pedernales ,On roadside or in temporary catch basin ,17.95,-71.583333,18.2528,HUH,17-Jan,J. Terborgh,204,Provided with DDM coordinates,only flower
3902,1,19.524,island,Greater Antilles,,no,,1913,North America,Dominican Republic,Azua,Santo Domingo ,18.4800424,-69.94688,18.2528,HUH,Mar,"J.N Rose, WM. R Fitch, Paul G. Russel ",3902,,
8414,1,14.83,island,Greater Antilles,,no,,1946,North America,Dominican Republic,Barahona,Common of gardens and lawns (city of Barahona),18.2101516,-71.1032312,18.2528,HUH,17-Aug,"R.A Howard, E.S Howard",8414,,
8414,2,16.243,island,Greater Antilles,,no,,1946,North America,Dominican Republic,Barahona,Common of gardens and lawns (city of Barahona),18.2101516,-71.1032312,18.2528,HUH,17-Aug,"R.A Howard, E.S Howard",8414,,
8414,3,12.292,island,Greater Antilles,,no,,1946,North America,Dominican Republic,Barahona,Common of gardens and lawns (city of Barahona),18.2101516,-71.1032312,18.2528,HUH,17-Aug,"R.A Howard, E.S Howard",8414,,
9565,1,20.044,island,Greater Antilles,,no,,1946,North America,Dominican Republic,Monte Cristi,"In thorn shrub area, near Yaque Del Norte River S of Monte Cristi",19.8452355,-71.6446352,18.2528,HUH,23-Oct,"R.A Howard, E.S Howard",9565,Monte Cristi capital,
760038,1,18.872,island,Hispaniola,,no,,1913,North America,Dominican Republic,Azua,"Azua, Santo Domingo.",18.827827,-70.850376,21.2451,Smithsonian,Mar,"Rose, J. N.; Fitch, W. R.; Russell, P. G.",3902,,NA
760038,2,22.467,island,Hispaniola,,no,,1913,North America,Dominican Republic,Azua,"Azua, Santo Domingo.",18.827827,-70.850376,21.2451,Smithsonian,Mar,"Rose, J. N.; Fitch, W. R.; Russell, P. G.",3902,,NA
1078125,1,22.305,island,Hispaniola,,no,,1921,North America,Dominican Republic,San Cristobal,Haina.,18.417865,-70.032734,21.2513,Smithsonian,23-Mar-21,"Faris, J. A.",22,,NA
1078844,1,23.156,island,Hispaniola,,no,,1921,North America,Dominican Republic,Montecristi,Guayubin.,19.672857,-71.393656,21.2513,Smithsonian,13 Feb 1921 to 21 Feb 1921,"Abbott, W. L.",891,,NA
1078844,2,20.787,island,Hispaniola,,no,,1921,North America,Dominican Republic,Montecristi,Guayubin.,19.672857,-71.393656,21.2513,Smithsonian,13 Feb 1921 to 21 Feb 1921,"Abbott, W. L.",891,,NA
1078844,3,22.66,island,Hispaniola,,no,,1921,North America,Dominican Republic,Montecristi,Guayubin.,19.672857,-71.393656,21.2513,Smithsonian,13 Feb 1921 to 21 Feb 1921,"Abbott, W. L.",891,,NA
1079494,1,18.307,island,Hispaniola,,no,,1922,North America,Dominican Republic,,"Vicinity of Sanchez, Samana Peninsula. Along rail road.",19.254287,-69.40411,21.2513,Smithsonian,30-Mar-22,"Abbott, W. L.",2010a,,NA
1079494,2,17.257,island,Hispaniola,,no,,1922,North America,Dominican Republic,,"Vicinity of Sanchez, Samana Peninsula. Along rail road.",19.254287,-69.40411,21.2513,Smithsonian,30-Mar-22,"Abbott, W. L.",2010a,,NA
1079494,3,18.167,island,Hispaniola,,no,,1922,North America,Dominican Republic,,"Vicinity of Sanchez, Samana Peninsula. Along rail road.",19.254287,-69.40411,21.2513,Smithsonian,30-Mar-22,"Abbott, W. L.",2010a,,NA
1478789,1,18.959,island,Hispaniola,,no,,1931,North America,Dominican Republic,Montecristi,Monte Cristy. Distr. of Monte Cristy.,19.847495,-71.64249,21.2513,Smithsonian,20-Mar-31,"Valeur, E. J.",621,,NA
1479819,1,26.158,island,Hispaniola,,no,,1930,North America,Dominican Republic,Puerto Plata,"Cordillera Septentrional, Puerto Plata.",19.788394,-70.691919,21.2513,Smithsonian,25-Mar-30,"Ekman, E. L.",H 14514,,NA
1479819,2,22.14,island,Hispaniola,,no,,1930,North America,Dominican Republic,Puerto Plata,"Cordillera Septentrional, Puerto Plata.",19.788394,-70.691919,21.2513,Smithsonian,25-Mar-30,"Ekman, E. L.",H 14514,,NA
1479819,3,22.892,island,Hispaniola,,no,,1930,North America,Dominican Republic,Puerto Plata,"Cordillera Septentrional, Puerto Plata.",19.788394,-70.691919,21.2513,Smithsonian,25-Mar-30,"Ekman, E. L.",H 14514,,NA
2111030,1,14.044,island,Hispaniola,,no,,1946,North America,Dominican Republic,Montecristi,Near Rio Yaque del Norte. S. of Monte Cristi.,19.826974,-71.651044,21.2513,Smithsonian,23 Oct 1946 to 24 Oct 1946,"Howard, R. A.; Howard, E. S.",9565,,NA
2111030,2,13.638,island,Hispaniola,,no,,1946,North America,Dominican Republic,Montecristi,Near Rio Yaque del Norte. S. of Monte Cristi.,19.826974,-71.651044,21.2513,Smithsonian,23 Oct 1946 to 24 Oct 1946,"Howard, R. A.; Howard, E. S.",9565,,NA
1256,1,18.869,mainland,,,,,1963,North America,El Salvador,San Salvador,Cultivated in garden of Sr. Rafael Augilar (23 calle poniente)  in Barrio San Miguelito,13.707798,-89.1887226,18.2528,HUH,5-Nov,Duncan M. Porter,416,,
1256,2,20.59,mainland,,,,,1963,North America,El Salvador,San Salvador,Cultivated in garden of Sr. Rafael Augilar (23 calle poniente)  in Barrio San Miguelito,13.707798,-89.1887226,18.2528,HUH,5-Nov,Duncan M. Porter,416,,
1256,3,16.247,mainland,,,,,1963,North America,El Salvador,San Salvador,Cultivated in garden of Sr. Rafael Augilar (23 calle poniente)  in Barrio San Miguelito,13.707798,-89.1887226,18.2528,HUH,5-Nov,Duncan M. Porter,416,,
25870,1,19.796,mainland,,,,,1963,North America,El Salvador,San Salvador,Cultivated in garden of Sr. Rafael Augilar (23 calle poniente)  in Barrio San Miguelito,13.707798,-89.1887226,18.2528,HUH,5-Nov,Duncan M. Porter,,,
25870,2,17.698,mainland,,,,,1963,North America,El Salvador,San Salvador,Cultivated in garden of Sr. Rafael Augilar (23 calle poniente)  in Barrio San Miguelito,13.707798,-89.1887226,18.2528,HUH,5-Nov,Duncan M. Porter,,,
655092,1,13.851,island,Marie Galante,,no,,1895,North America,Guadeloupe,,Marie Galante,15.923992,-61.257225,21.2568,Smithsonian,Apr 1895,"Duss, Père A.",3645,,NA
846898,1,20.137,island,Marie Galante,,no,,1895,North America,Guadeloupe,,,15.923992,-61.257225,21.2568,Smithsonian,,"Duss, Père A.",3645,,NA
