ind_num,ID,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,flower_num,petal_length,petal_length_log,petal_length_sqr,country,province_state,location,latitude,longitude,scale,Herbarium,collection.date,collector,collection.no,Coordinate.notes,Measurer_note
28,2324,1953,Asia,island,other,Philippines,NA,NA,2,14.898,2.701226976,3.859792741,Philipines,NA,NA,NA,NA,18.2528,HUH,3-Apr,A. H. Shiffers (spelling?),2324,NA,NA
29,706203,1908,Asia,island,other,Philippines,NA,NA,1,16.4,2.797281335,4.049691346,Philippines,NA,Tayabas.,14.040984,121.630902,21.2584,Smithsonian,Apr,"Curran, H. M.",Forestry Bureau 1115,NA,NA
30,706203,1908,Asia,island,other,Philippines,NA,NA,2,16.279,2.789875934,4.034724278,Philippines,NA,Tayabas.,14.040984,121.630902,21.2584,Smithsonian,Apr,"Curran, H. M.",Forestry Bureau 1115,NA,NA
31,1725,1958,Asia,island,other,Sri Lanka,NA,NA,1,14.14,2.64900766,3.760319135,Sri Lanka,NA,"Peradeniya, Ceylon",NA,NA,18.2528,HUH,23-May,D.M.A Jayaweera,1725,Grown in cultivation,Assumed originally colelcted from Sri Lanka
32,2698458,1970,Asia,island,other,Sri Lanka,NA,NA,1,22.1,3.095577609,4.701063709,Sri Lanka,NA,"Ceylon, Kandy District, Between Kandy and Peradeniya, Planted in front of Maternity Home.",7.281163,80.616968,21.2513,Smithsonian,8-Nov-70,"Fosberg, F. R.",52700,NA,NA
33,2698458,1970,Asia,island,other,Sri Lanka,NA,NA,2,20.472,3.019058099,4.52459943,Sri Lanka,NA,"Ceylon, Kandy District, Between Kandy and Peradeniya, Planted in front of Maternity Home.",7.281163,80.616968,21.2513,Smithsonian,8-Nov-70,"Fosberg, F. R.",52700,NA,NA
34,2698458,1970,Asia,island,other,Sri Lanka,NA,NA,3,20.116,3.001515518,4.485086398,Sri Lanka,NA,"Ceylon, Kandy District, Between Kandy and Peradeniya, Planted in front of Maternity Home.",7.281163,80.616968,21.2513,Smithsonian,8-Nov-70,"Fosberg, F. R.",52700,NA,NA
35,2721838,1970,Asia,island,other,Sri Lanka,NA,NA,1,18.992,2.944017838,4.357981184,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.289546,80.624859,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,NA,NA
36,2721838,1970,Asia,island,other,Sri Lanka,NA,NA,2,17.761,2.877005042,4.214380144,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.289546,80.624859,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,NA,NA
37,2721838,1970,Asia,island,other,Sri Lanka,NA,NA,3,16.904,2.82755028,4.111447434,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.289546,80.624859,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,NA,NA
38,2760454,1969,Asia,island,other,Sri Lanka,NA,NA,1,19.677,2.979450441,4.435876464,Sri Lanka,NA,"Ceylon, Colombo, Planted as an ornamental in U.S. Embassy grounds.",6.91317,79.848433,21.2513,Smithsonian,20-Dec-69,"Fosberg, F. R.",51786,NA,NA
39,2760454,1969,Asia,island,other,Sri Lanka,NA,NA,2,22.438,3.11075595,4.736876608,Sri Lanka,NA,"Ceylon, Colombo, Planted as an ornamental in U.S. Embassy grounds.",6.91317,79.848433,21.2513,Smithsonian,20-Dec-69,"Fosberg, F. R.",51786,NA,NA
40,2760454,1969,Asia,island,other,Sri Lanka,NA,NA,3,21.647,3.074866877,4.652633663,Sri Lanka,NA,"Ceylon, Colombo, Planted as an ornamental in U.S. Embassy grounds.",6.91317,79.848433,21.2513,Smithsonian,20-Dec-69,"Fosberg, F. R.",51786,NA,NA
41,2762794,1970,Asia,island,other,Sri Lanka,NA,NA,1,16.311,2.791839727,4.038687906,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.292604,80.630697,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,NA,NA
42,2762794,1970,Asia,island,other,Sri Lanka,NA,NA,2,16.42,2.798500104,4.052159918,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.292604,80.630697,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,NA,NA
43,2832148,1977,Asia,island,other,Sri Lanka,NA,NA,1,17.236,2.84700022,4.151626187,Sri Lanka,NA,"Ceylon, Anuradhapura District, Haberama, Planted in garden in hotel grounds near tank.",8.032151,80.752528,21.2513,Smithsonian,30-Nov-77,"Fosberg, F. R.; Jayasinghe, P.",57014,NA,NA
44,2832148,1977,Asia,island,other,Sri Lanka,NA,NA,2,20.566,3.023639227,4.534975193,Sri Lanka,NA,"Ceylon, Anuradhapura District, Haberama, Planted in garden in hotel grounds near tank.",8.032151,80.752528,21.2513,Smithsonian,30-Nov-77,"Fosberg, F. R.; Jayasinghe, P.",57014,NA,NA
45,2832148,1977,Asia,island,other,Sri Lanka,NA,NA,3,20.276,3.009437921,4.502887962,Sri Lanka,NA,"Ceylon, Anuradhapura District, Haberama, Planted in garden in hotel grounds near tank.",8.032151,80.752528,21.2513,Smithsonian,30-Nov-77,"Fosberg, F. R.; Jayasinghe, P.",57014,NA,NA
46,2889416,1978,Asia,island,other,Sri Lanka,NA,NA,1,18.504,2.917986925,4.301627599,Sri Lanka,Central,"Matale Distr., outskirt of Matale.",7.458651,80.625407,21.2513,Smithsonian,27-Apr-78,"Soejarto, D. D.",4835,NA,NA
47,2889416,1978,Asia,island,other,Sri Lanka,NA,NA,2,22.289,3.104093283,4.721122748,Sri Lanka,Central,"Matale Distr., outskirt of Matale.",7.458651,80.625407,21.2513,Smithsonian,27-Apr-78,"Soejarto, D. D.",4835,NA,NA
48,2889416,1978,Asia,island,other,Sri Lanka,NA,NA,3,20.732,3.0316784,4.553240604,Sri Lanka,Central,"Matale Distr., outskirt of Matale.",7.458651,80.625407,21.2513,Smithsonian,27-Apr-78,"Soejarto, D. D.",4835,NA,NA
49,4445,1973,Oceania,island,other,NA,NA,NA,1,11.667,2.456764344,3.41569905,Australia,Queensland,East Hope Island,14.733333,145.466667,18.2528,HUH,4-Sep,D.R Stoddart,4445,DDM coordinates provided,only flower
50,491963,1996,Oceania,mainland,NA,NA,NA,NA,1,11.205,2.416360107,3.347387041,Australia,Queensland,"Dajarra Rd, 16.3km S of Mt Isa (by air); common along roadside",-20.866667,139.45,18.2528,HUH,27-Mar,A. Fraser,154,Provided with DDM coordinates,NA
51,491963,1996,Oceania,mainland,NA,NA,NA,NA,2,12.027,2.487154122,3.46799654,Australia,Queensland,"Dajarra Rd, 16.3km S of Mt Isa (by air); common along roadside",-20.866667,139.45,18.2528,HUH,27-Mar,A. Fraser,154,Provided with DDM coordinates,NA
52,491963,1996,Oceania,mainland,NA,NA,NA,NA,3,10.931,2.391602789,3.306206285,Australia,Queensland,"Dajarra Rd, 16.3km S of Mt Isa (by air); common along roadside",-20.866667,139.45,18.2528,HUH,27-Mar,A. Fraser,154,Provided with DDM coordinates,NA
53,1136,1937,North America,island,other,Leeward Islands,NA,NA,1,15.942,2.768957136,3.992743418,Antigua and Barbuda,NA,"Hawes Island, among low grasses on dry calcareous soil",17.1166664,-61.7333333,18.2528,HUH,5-Oct,Harold. E Box,1136,NA,NA
54,1136,1937,North America,island,other,Leeward Islands,NA,NA,2,16.01,2.773213527,4.001249805,Antigua and Barbuda,NA,"Hawes Island, among low grasses on dry calcareous soil",17.1166664,-61.7333333,18.2528,HUH,5-Oct,Harold. E Box,1136,NA,NA
55,1714073,1937,North America,island,other,Hawes island,NA,NA,1,19.199,2.954858194,4.38166635,Antigua and Barbuda,NA,"Hawes Island, among few grasses on dry calcareus soil, race confined to one restricted locality",17.112791,-61.727886,21.2513,Smithsonian,5-Oct-37,"Box, H. E.",1136 Dupl.,NA,NA
56,1714073,1937,North America,island,other,Hawes island,NA,NA,2,13.474,2.600761903,3.670694757,Antigua and Barbuda,NA,"Hawes Island, among few grasses on dry calcareus soil, race confined to one restricted locality",17.112791,-61.727886,21.2513,Smithsonian,5-Oct-37,"Box, H. E.",1136 Dupl.,NA,NA
57,1714073,1937,North America,island,other,Hawes island,NA,NA,3,12.989,2.564102845,3.604025527,Antigua and Barbuda,NA,"Hawes Island, among few grasses on dry calcareus soil, race confined to one restricted locality",17.112791,-61.727886,21.2513,Smithsonian,5-Oct-37,"Box, H. E.",1136 Dupl.,NA,NA
58,36,1962,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,1,17.335,2.852727579,4.163532154,Bahamas,Inagua,Herbs in horse yards and waste places around Matthewtown,20.9420004,-73.6693812,18.2528,HUH,5-Jan,Henry Dunbar,36,NA,NA
59,36,1962,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,2,16.937,2.829500578,4.115458662,Bahamas,Inagua,Herbs in horse yards and waste places around Matthewtown,20.9420004,-73.6693812,18.2528,HUH,5-Jan,Henry Dunbar,36,NA,NA
60,36,1962,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,3,18.304,2.907119615,4.278317426,Bahamas,Inagua,Herbs in horse yards and waste places around Matthewtown,20.9420004,-73.6693812,18.2528,HUH,5-Jan,Henry Dunbar,36,NA,NA
61,935,1963,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,1,14.611,2.68177467,3.82243378,Bahamas,NA,"Nassau, New Providence Island",25.0325606,-77.4070931,18.2528,HUH,16-Aug,N.L.H Krauss,935,NA,no measurable associated leaf
62,935,1963,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,2,15.351,2.731180618,3.918035222,Bahamas,NA,"Nassau, New Providence Island",25.0325606,-77.4070931,18.2528,HUH,16-Aug,N.L.H Krauss,935,NA,no measurable associated leaf
63,1006,1973,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,1,16.357,2.79465594,4.044378815,Bahamas,Inagua,"Holy Family church grounds, Mathewtown, Inagua",20.9420004,-73.6693812,18.2528,HUH,18-Feb,"Walter Carbin SSJ,",1006,"Could not find actual church, so coordinates for Mathewtown",NA
64,1006,1973,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,2,15.38,2.733067964,3.92173431,Bahamas,Inagua,"Holy Family church grounds, Mathewtown, Inagua",20.9420004,-73.6693812,18.2528,HUH,18-Feb,"Walter Carbin SSJ,",1006,"Could not find actual church, so coordinates for Mathewtown",NA
65,2132155,1952,North America,island,other,New Providence,NA,NA,1,16.737,2.817621838,4.091087875,Bahamas,NA,Along roadside on E of island,25.040249,-77.337173,21.2513,Smithsonian,3 Sep 1952 to 5 Sep 1952,"von Reis, S.",219,NA,NA
66,2432300,1960,North America,island,other,New Providence,NA,NA,1,14.529,2.676146652,3.811692537,Bahamas,NA,"sandy areas, Cable Beach",25.077913,-77.411604,21.2513,Smithsonian,5-Aug-60,"Webster, G. L.",10856,NA,NA
67,2432300,1960,North America,island,other,New Providence,NA,NA,2,16.978,2.831918388,4.12043687,Bahamas,NA,"sandy areas, Cable Beach",25.077913,-77.411604,21.2513,Smithsonian,5-Aug-60,"Webster, G. L.",10856,NA,NA
68,3004274,1977,North America,island,other,Bahamas,NA,NA,1,26.753,3.286646617,5.172330229,Bahamas,NA,Grand Turk: along beach playa on edge of town,22.864683,-74.788289,21.2513,Smithsonian,28-Nov-77,"Correll, D. S.",49177,NA,NA
69,3004274,1977,North America,island,other,Bahamas,NA,NA,2,24.816,3.211488606,4.981566019,Bahamas,NA,Grand Turk: along beach playa on edge of town,22.864683,-74.788289,21.2513,Smithsonian,28-Nov-77,"Correll, D. S.",49177,NA,NA
70,3640024,1977,North America,island,other,New Providence,NA,NA,1,20.504,3.020619989,4.528134274,Bahamas,New Providence,"New Providence: about old prison, Fort Charlotte, Nassau.",25.032287,-77.404644,21.2513,Smithsonian,22-Mar-77,"Correll, D. S.; Correll, H. B.",48234,NA,NA
71,3640024,1977,North America,island,other,New Providence,NA,NA,2,21.35,3.06105174,4.620606021,Bahamas,New Providence,"New Providence: about old prison, Fort Charlotte, Nassau.",25.032287,-77.404644,21.2513,Smithsonian,22-Mar-77,"Correll, D. S.; Correll, H. B.",48234,NA,NA
72,09.19.46 114,1962,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,1,21.292,3.058331415,4.61432552,Bahamas,NA,"Sandy gravel on boardwalk in front of the British Colonial Hotel, Nassu, New Providence Island",25.0779178,-77.3457637,18.2528,HUH,26-Dec,E.V Parsegian,NA,Coordinates for hotel,NA
73,09.19.46 114,1962,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,2,20.253,3.008302931,4.500333321,Bahamas,NA,"Sandy gravel on boardwalk in front of the British Colonial Hotel, Nassu, New Providence Island",25.0779178,-77.3457637,18.2528,HUH,26-Dec,E.V Parsegian,NA,Coordinates for hotel,NA
74,09.19.49 115,NA,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,1,13.236,2.58294039,3.638131389,Bahamas,NA,Bahama Islands,24.4344686,-75.9667161,18.2528,HUH,NA,Henry Bryaul,NA,No specified location within country,no measurable associated leaf
75,09.19.49 115,NA,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,2,14.36,2.664446564,3.789459064,Bahamas,NA,Bahama Islands,24.4344686,-75.9667161,18.2528,HUH,NA,Henry Bryaul,NA,No specified location within country,NA
76,756798,1913,North America,island,other,Virgin Gorda Island,NA,NA,1,18.466,2.915931203,4.297208396,British Virgin Islands,Virgin Gorda,Valley,18.479177,-64.403025,21.2459,Smithsonian,21-Feb-13,"Britton, N. L.; Fishlock, W. C.",1066,NA,NA
77,1048056,1919,North America,island,other,Tortola Island,NA,NA,1,15.758,2.757348173,3.969634744,British Virgin Islands,Tortola,West End,18.411604,-64.663472,21.2513,Smithsonian,22-May-19,"Fishlock, W. C.",437,NA,NA
78,361,1902,North America,island,other,Cuba,NA,NA,1,17.479,2.86100016,4.180789399,Cuba,Santiago de Cuba,Vicinity of Santiago city,20.0243361,-75.8260967,18.2528,HUH,NA,Edward Palmer,361,NA,NA
79,566,1904,North America,island,other,Cuba,NA,NA,1,18.762,2.931833548,4.331512438,Cuba,La Habana,Waste ground near Havana Cuba,23.0506867,-82.3330021,18.2528,HUH,Dec,A.H Curtiss,566,NA,NA
80,566,1904,North America,island,other,Cuba,NA,NA,2,19.227,2.956315541,4.384860317,Cuba,La Habana,Waste ground near Havana Cuba,23.0506867,-82.3330021,18.2528,HUH,Dec,A.H Curtiss,566,NA,NA
81,6511,1949,North America,island,other,Cuba,NA,NA,1,12.967,2.562407669,3.600972091,Cuba, La Habana,"In the streets, Vista Alegre, Santiago Havana",23.1330881,-82.3704083,18.2528,HUH,Mar,Bro. Clemente,6511,"Can't find the specific neighbourhood on maps, coordinates for Santiago",NA
82,6511,1949,North America,island,other,Cuba,NA,NA,2,17.215,2.845781097,4.149096287,Cuba, La Habana,"In the streets, Vista Alegre, Santiago Havana",23.1330881,-82.3704083,18.2528,HUH,Mar,Bro. Clemente,6511,"Can't find the specific neighbourhood on maps, coordinates for Santiago",NA
83,14151,1800,North America,island,other,Cuba,NA,NA,1,18.385,2.911535115,4.287773315,Cuba,NA,NA,21.913806,-78.78432,21.2434,Smithsonian,NA,"Wright, C.",s.n.,NA,NA
84,14151,1800,North America,island,other,Cuba,NA,NA,2,20.057,2.99857822,4.478504215,Cuba,NA,NA,21.913806,-78.78432,21.2434,Smithsonian,NA,"Wright, C.",s.n.,NA,NA
85,17949,1940,North America,island,other,Cuba,NA,NA,1,13.726,2.619291844,3.704861671,Cuba,Oriente,Maisi,20.2270028,-74.1499257,18.2528,HUH,Jun,Bro. León,17949,NA,"only measurable flower, no measurable associated leaf (cannot see stem, or count all leaflets)"
86,372767,1900,North America,island,other,Cuba,NA,NA,1,18.484,2.916905493,4.299302269,Cuba,Pinar del Rio,Pinar del Rio,22.421178,-83.691508,21.2518,Smithsonian,11-May-00,"Palmer, W.; Riley, J. H.",742,NA,NA
87,372767,1900,North America,island,other,Cuba,NA,NA,2,23.253,3.146434156,4.822136456,Cuba,Pinar del Rio,Pinar del Rio,22.421178,-83.691508,21.2518,Smithsonian,11-May-00,"Palmer, W.; Riley, J. H.",742,NA,NA
88,403124,1902,North America,island,other,Cuba,NA,NA,1,18.151,2.898725656,4.260399042,Cuba,Oriente,Santiago de Cuba [Oriente],20.024926,-75.828854,21.2518,Smithsonian,15 Feb 1902 to 24 Feb 1902,"Palmer, D. E.",361,NA,NA
89,403124,1902,North America,island,other,Cuba,NA,NA,2,17.72,2.874693945,4.209513036,Cuba,Oriente,Santiago de Cuba [Oriente],20.024926,-75.828854,21.2518,Smithsonian,15 Feb 1902 to 24 Feb 1902,"Palmer, D. E.",361,NA,NA
90,522184,1904,North America,island,other,Cuba,NA,NA,1,16.141,2.781362619,4.01758634,Cuba,La Habana,"waste ground; near Havana, Cuba",23.107092,-82.363969,21.2518,Smithsonian,Dec,"Curtiss, A. H.",566,NA,NA
91,522184,1904,North America,island,other,Cuba,NA,NA,2,20.141,3.002757538,4.487872547,Cuba,La Habana,"waste ground; near Havana, Cuba",23.107092,-82.363969,21.2518,Smithsonian,Dec,"Curtiss, A. H.",566,NA,NA
92,09.17.31 90,1860,North America,island,other,Cuba,NA,NA,1,23.094,3.139572844,4.805621708,Cuba,NA,NA,21.5152501,-79.5630001,18.2528,HUH,NA,C. Wright,NA,Coordinates for cuba as a whole due to no specific location or area on island,NA
93,09.17.31 90,1860,North America,island,other,Cuba,NA,NA,2,17.985,2.889538077,4.240872552,Cuba,NA,NA,21.5152501,-79.5630001,18.2528,HUH,NA,C. Wright,NA,Coordinates for cuba as a whole due to no specific location or area on island,NA
94,09.17.31 90,1860,North America,island,other,Cuba,NA,NA,3,18.19,2.900871993,4.264973622,Cuba,NA,NA,21.5152501,-79.5630001,18.2528,HUH,NA,C. Wright,NA,Coordinates for cuba as a whole due to no specific location or area on island,NA
95,22,1921,North America,island,other,Greater Antilles,NA,NA,1,22.062,3.093856672,4.697020332,Dominican Republic,San Cristóbal,Haina,18.4135494,-70.032562,18.2528,HUH,23-Mar,James A. Faris,22,NA,NA
96,204,1970,North America,island,other,Greater Antilles,NA,NA,1,18.649,2.925792525,4.318448796,Dominican Republic,Pedernales ,On roadside or in temporary catch basin,17.95,-71.583333,18.2528,HUH,17-Jan,J. Terborgh,204,Provided with DDM coordinates,only flower
97,3902,1913,North America,island,other,Greater Antilles,NA,NA,1,19.524,2.971644478,4.418597062,Dominican Republic,Azua,Santo Domingo,18.4800424,-69.94688,18.2528,HUH,Mar,"J.N Rose, WM. R Fitch, Paul G. Russel",3902,NA,NA
98,8414,1946,North America,island,other,Greater Antilles,NA,NA,1,14.83,2.696652156,3.850973903,Dominican Republic,Barahona,Common of gardens and lawns (city of Barahona),18.2101516,-71.1032312,18.2528,HUH,17-Aug,"R.A Howard, E.S Howard",8414,NA,NA
99,8414,1946,North America,island,other,Greater Antilles,NA,NA,2,16.243,2.787662047,4.030260537,Dominican Republic,Barahona,Common of gardens and lawns (city of Barahona),18.2101516,-71.1032312,18.2528,HUH,17-Aug,"R.A Howard, E.S Howard",8414,NA,NA
100,8414,1946,North America,island,other,Greater Antilles,NA,NA,3,12.292,2.508948644,3.505994866,Dominican Republic,Barahona,Common of gardens and lawns (city of Barahona),18.2101516,-71.1032312,18.2528,HUH,17-Aug,"R.A Howard, E.S Howard",8414,NA,NA
101,9565,1946,North America,island,other,Greater Antilles,NA,NA,1,20.044,2.997929857,4.477052602,Dominican Republic,Monte Cristi,"In thorn shrub area, near Yaque Del Norte River S of Monte Cristi",19.8452355,-71.6446352,18.2528,HUH,23-Oct,"R.A Howard, E.S Howard",9565,Monte Cristi capital,NA
102,760038,1913,North America,island,other,Hispaniola,NA,NA,1,18.872,2.937679342,4.344191524,Dominican Republic,Azua,"Azua, Santo Domingo.",18.827827,-70.850376,21.2451,Smithsonian,Mar,"Rose, J. N.; Fitch, W. R.; Russell, P. G.",3902,NA,NA
