ind_num,ID,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,leaf_num,leaf_length,number_of_leaflets,country,province_state,location,latitude,longitude,scale,herbarium,date,collector,collection.no,coordinate.notes,measurer_note,leaf_length_log,leaf_length_sqr
20,3145,1934,Africa,island,other,Barlavento Islands,NA,NA,1,29.794,14,Cape Verde,NA,"Monte Verde, São Vicente island",16.8684276,-24.9329397,18.2528,HUH,17-Oct,Max Dinklage,3145,NA,NA,3.394307031,5.45838804
21,09.31.45 228,1964,Africa,mainland,NA,NA,NA,NA,1,32.151,15,Ghana,Greater Accra,"Ring road roundabout, Accra",5.5912087,-0.1797295,18.2528,HUH,31-May,A.A. Ruti,NA,NA,leaf at first node,3.470443554,5.670185182
22,09.31.45 228,1964,Africa,mainland,NA,NA,NA,NA,2,15.655,14,Ghana,Greater Accra,"Ring road roundabout, Accra",5.5912087,-0.1797295,18.2528,HUH,31-May,A.A. Ruti,NA,NA,leaf at first node,2.750790355,3.956639989
23,09.31.45 228,1964,Africa,mainland,NA,NA,NA,NA,3,19.357,13,Ghana,Greater Accra,"Ring road roundabout, Accra",5.5912087,-0.1797295,18.2528,HUH,31-May,A.A. Ruti,NA,NA,estimated where flower was to find leaf,2.963054111,4.399659078
24,09.31.36 226,1973,Africa,island,other,Tanzanian archipelago of Zanzibar,NA,NA,1,31.666,10,Tanzania,Rufiji ," Shungu Mbili, a private Island just off Mafia Island ",-7.7,39.683333,18.2528,HUH,31-Oct,J. Frazier,NA,Provided with DDM coordinates,leaf at first node- rest of leaves bunched together,3.45524355,5.627255104
25,09.31.39 227,1974,Africa,mainland,NA,Tanzanian archipelago of Zanzibar,NA,NA,1,15.229,12,Tanzania,Zanzibar ,"South of Mto Kama, 12km south of Mkwaja Tanga region",NA,NA,18.2528,HUH,13-Sep,J. Frazier,1117,Unclear about location,NA,2.723201505,3.902435137
26,2324,1953,Asia,island,other,Philippines,NA,NA,1,37.48,11,Philippines,NA,NA,NA,NA,18.2528,HUH,3-Apr,NA,NA,NA,NA,3.623807457,6.122091146
27,2324,1953,Asia,island,other,Philippines,NA,NA,2,41.194,14,Philippines,NA,NA,NA,NA,18.2528,HUH,3-Apr,NA,NA,NA,NA,3.718292615,6.418255215
28,706203,1908,Asia,island,other,Philippines,NA,NA,1,34.441,14,Philippines,NA,Tayabas.,14.040984,121.630902,21.2584,Smithsonian,Apr,"Curran, H. M.",Forestry Bureau 1115,NA,NA,3.539247715,5.8686455
29,706203,1908,Asia,island,other,Philippines,NA,NA,2,32.925,11,Philippines,NA,Tayabas.,14.040984,121.630902,21.2584,Smithsonian,Apr,"Curran, H. M.",Forestry Bureau 1115,NA,NA,3.494232248,5.738031021
30,1725,1958,Asia,island,other,Sri Lanka,NA,NA,1,28.6,10,Sri Lanka,NA,"Peradeniya, Ceylon",NA,NA,18.2528,HUH,23-May,D.M.A Jayaweera,1725,Location unclear,NA,3.353406718,5.347896783
31,2698458,1970,Asia,island,other,Sri Lanka,NA,NA,1,25.204,12,Sri Lanka,NA,"Ceylon, Kandy District, Between Kandy and Peradeniya, Planted in front of Maternity Home.",7.281163,80.616968,21.2513,Smithsonian,8-Nov-70,"Fosberg, F. R.",52700,NA,1 leaf down the flower,3.227002712,5.020358553
32,2698458,1970,Asia,island,other,Sri Lanka,NA,NA,2,25.899,12,Sri Lanka,NA,"Ceylon, Kandy District, Between Kandy and Peradeniya, Planted in front of Maternity Home.",7.281163,80.616968,21.2513,Smithsonian,8-Nov-70,"Fosberg, F. R.",52700,NA,1 leaf down the flower,3.254204358,5.089106012
33,2698458,1970,Asia,island,other,Sri Lanka,NA,NA,3,40.143,12,Sri Lanka,NA,"Ceylon, Kandy District, Between Kandy and Peradeniya, Planted in front of Maternity Home.",7.281163,80.616968,21.2513,Smithsonian,8-Nov-70,"Fosberg, F. R.",52700,NA,NA,3.692448079,6.335850377
34,2721838,1970,Asia,island,other,Sri Lanka,NA,NA,1,29.478,12,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.289546,80.624859,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,NA,NA,3.383644222,5.429364604
35,2721838,1970,Asia,island,other,Sri Lanka,NA,NA,2,35.943,14,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.289546,80.624859,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,NA,NA,3.58193435,5.995248118
36,2721838,1970,Asia,island,other,Sri Lanka,NA,NA,3,36.361,12,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.289546,80.624859,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,NA,NA,3.593496772,6.030008292
37,2760454,1969,Asia,island,other,Sri Lanka,NA,NA,1,21.985,12,Sri Lanka,NA,"Ceylon, Colombo, Planted as an ornamental in U.S. Embassy grounds.",6.91317,79.848433,21.2513,Smithsonian,20-Dec-69,"Fosberg, F. R.",51786,NA,NA,3.090360403,4.688816482
38,2760454,1969,Asia,island,other,Sri Lanka,NA,NA,2,20.214,12,Sri Lanka,NA,"Ceylon, Colombo, Planted as an ornamental in U.S. Embassy grounds.",6.91317,79.848433,21.2513,Smithsonian,20-Dec-69,"Fosberg, F. R.",51786,NA,NA,3.006375434,4.495998221
39,2760454,1969,Asia,island,other,Sri Lanka,NA,NA,3,19.502,12,Sri Lanka,NA,"Ceylon, Colombo, Planted as an ornamental in U.S. Embassy grounds.",6.91317,79.848433,21.2513,Smithsonian,20-Dec-69,"Fosberg, F. R.",51786,NA,NA,2.970517024,4.416106883
40,2762794,1970,Asia,island,other,Sri Lanka,NA,NA,1,40.791,12,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.292604,80.630697,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,NA,NA,3.708461469,6.386783228
41,2762794,1970,Asia,island,other,Sri Lanka,NA,NA,2,34.173,12,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.292604,80.630697,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,NA,NA,3.531435859,5.8457677
42,2762794,1970,Asia,island,other,Sri Lanka,NA,NA,3,31.333,12,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.292604,80.630697,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,NA,NA,3.444671855,5.597588767
43,2832148,1977,Asia,island,other,Sri Lanka,NA,NA,1,26.325,12,Sri Lanka,NA,"Ceylon, Anuradhapura District, Haberama, Planted in garden in hotel grounds near tank.",8.032151,80.752528,21.2513,Smithsonian,30-Nov-77,"Fosberg, F. R.; Jayasinghe, P.",57014,NA,NA,3.270519058,5.130789413
44,2832148,1977,Asia,island,other,Sri Lanka,NA,NA,2,24.587,12,Sri Lanka,NA,"Ceylon, Anuradhapura District, Haberama, Planted in garden in hotel grounds near tank.",8.032151,80.752528,21.2513,Smithsonian,30-Nov-77,"Fosberg, F. R.; Jayasinghe, P.",57014,NA,NA,3.202217848,4.958528007
45,2889416,1978,Asia,island,other,Sri Lanka,NA,NA,1,35.674,12,Sri Lanka,Central,"Matale Distr., outskirt of Matale.",7.458651,80.625407,21.2513,Smithsonian,27-Apr-78,"Soejarto, D. D.",4835,NA,NA,3.574422132,5.972771551
46,2889416,1978,Asia,island,other,Sri Lanka,NA,NA,2,30.566,14,Sri Lanka,Central,"Matale Distr., outskirt of Matale.",7.458651,80.625407,21.2513,Smithsonian,27-Apr-78,"Soejarto, D. D.",4835,NA,NA,3.41988828,5.528652639
47,2889416,1978,Asia,island,other,Sri Lanka,NA,NA,3,32.29,12,Sri Lanka,Central,"Matale Distr., outskirt of Matale.",7.458651,80.625407,21.2513,Smithsonian,27-Apr-78,"Soejarto, D. D.",4835,NA,NA,3.474757585,5.682429058
48,4445,1973,Oceania,island,other,NA,NA,NA,1,45.701,16,Australia,Queensland,East Hope Island,-15.44,145.466667,18.2528,HUH,4-Sep,D.R Stoddart,4445,DDM coordinates provided,leaf at third node- leaflet measured is closer to base than middle (middle ones are laterally folded),3.822120179,6.760251475
49,491963,1996,Oceania,mainland,NA,NA,NA,NA,1,53.811,18,Australia,Queensland,"Dajarra Rd, 16.3km S of Mt Isa (by air); common along roadside",-20.866667,139.45,18.2528,HUH,27-Mar,A. Fraser,154,Provided with DDM coordinates,NA,3.985477907,7.335598135
50,491963,1996,Oceania,mainland,NA,NA,NA,NA,2,29.417,18,Australia,Queensland,"Dajarra Rd, 16.3km S of Mt Isa (by air); common along roadside",-20.866667,139.45,18.2528,HUH,27-Mar,A. Fraser,154,Provided with DDM coordinates,NA,3.381572739,5.423744094
51,491963,1996,Oceania,mainland,NA,NA,NA,NA,3,51.423,18,Australia,Queensland,"Dajarra Rd, 16.3km S of Mt Isa (by air); common along roadside",-20.866667,139.45,18.2528,HUH,27-Mar,A. Fraser,154,Provided with DDM coordinates,NA,3.940085543,7.170983196
52,2094590,1948,Oceania,island,other,NA,NA,NA,1,38.977,12,Australia,Northern Territory,"Arnhem Land Aboriginal Reserve. Hemple Bay, Groote Eylandt, in the Gulf of Carpentaria.",-13.064283,133.984394,21.2513,Smithsonian,28-Apr-48,"Specht, R. L.",293,NA,NA,3.662971729,6.243156253
53,2094590,1948,Oceania,island,other,NA,NA,NA,2,32.55,10,Australia,Northern Territory,"Arnhem Land Aboriginal Reserve. Hemple Bay, Groote Eylandt, in the Gulf of Carpentaria.",-13.064283,133.984394,21.2513,Smithsonian,28-Apr-48,"Specht, R. L.",293,NA,NA,3.482777369,5.70526073
54,2094745,1948,Oceania,island,other,NA,NA,NA,1,57.335,14,Australia,Northern Territory,"Arnhem Land Aboriginal Reserve. South Bay, Bickerton Island, in the Gulf of Carpentaria.",-13.064283,133.984394,21.2513,Smithsonian,9-Jun-48,"Specht, R. L.",502,NA,NA,4.048911257,7.57198785
55,2094959,1948,Oceania,mainland,NA,NA,NA,NA,1,29.997,14,Australia,Northern Territory,Arnhem Land Aboriginal Reserve. Yirrkala. On seaward edge of coastal dune.,-13.064283,133.984394,21.2513,Smithsonian,5-Aug-48,"Specht, R. L.",826,NA,NA,3.401097377,5.476951707
56,1969031,1948,Oceania,island,other,New Caledonia,NA,NA,1,25.231,14,New Caledonia,NA,"Lawn of cottages, I. F. O., Anse Vata beach, Noumea.",-22.299596,166.440988,21.2513,Smithsonian,23-Mar-48,"Buchholz, J. T.",1780,NA,NA,3.228073397,5.023046884
57,1969031,1948,Oceania,island,other,New Caledonia,NA,NA,2,23.182,14,New Caledonia,NA,"Lawn of cottages, I. F. O., Anse Vata beach, Noumea.",-22.299596,166.440988,21.2513,Smithsonian,23-Mar-48,"Buchholz, J. T.",1780,NA,NA,3.143376115,4.814768946
58,1969031,1948,Oceania,island,other,New Caledonia,NA,NA,3,23.85,14,New Caledonia,NA,"Lawn of cottages, I. F. O., Anse Vata beach, Noumea.",-22.299596,166.440988,21.2513,Smithsonian,23-Mar-48,"Buchholz, J. T.",1780,NA,NA,3.171784217,4.883646179
59,1136,1937,North America,island,other,Leeward Islands,NA,NA,1,23.134,NA,Antigua and Barbuda,NA,"Hawes Island, among low grasses on dry calcareous soil",17.1166664,-61.7333333,18.2528,HUH,5-Oct,Harold. E Box,1136,NA,"leaf at first node, can't count all leaflets",3.141303397,4.8097817
60,1136,1937,North America,island,other,Leeward Islands,NA,NA,2,13.544,11,Antigua and Barbuda,NA,"Hawes Island, among low grasses on dry calcareous soil",17.1166664,-61.7333333,18.2528,HUH,5-Oct,Harold. E Box,1136,NA,leaf at first node- bit small comparatively,2.605943645,3.680217385
61,1714073,1937,North America,island,other,Hawes island,NA,NA,1,21.862,12,Antigua and Barbuda,NA,"Hawes Island, among few grasses on dry calcareus soil, race confined to one restricted locality",17.112791,-61.727886,21.2513,Smithsonian,5-Oct-37,"Box, H. E.",1136 Dupl.,NA,NA,3.08474997,4.675681768
62,1714073,1937,North America,island,other,Hawes island,NA,NA,2,18.898,12,Antigua and Barbuda,NA,"Hawes Island, among few grasses on dry calcareus soil, race confined to one restricted locality",17.112791,-61.727886,21.2513,Smithsonian,5-Oct-37,"Box, H. E.",1136 Dupl.,NA,NA,2.939056096,4.347182996
63,1714073,1937,North America,island,other,Hawes island,NA,NA,3,18.638,14,Antigua and Barbuda,NA,"Hawes Island, among few grasses on dry calcareus soil, race confined to one restricted locality",17.112791,-61.727886,21.2513,Smithsonian,5-Oct-37,"Box, H. E.",1136 Dupl.,NA,NA,2.925202507,4.317175002
64,36,1962,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,1,29.665,16,Bahamas,Inagua,Herbs in horse yards and waste places around Matthewtown,20.9420004,-73.6693812,18.2528,HUH,5-Jan,Henry Dunbar,36,NA,NA,3.3899679,5.446558546
65,36,1962,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,2,29.09,16,Bahamas,Inagua,Herbs in horse yards and waste places around Matthewtown,20.9420004,-73.6693812,18.2528,HUH,5-Jan,Henry Dunbar,36,NA,NA,3.370394473,5.393514624
66,36,1962,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,3,27.393,15,Bahamas,Inagua,Herbs in horse yards and waste places around Matthewtown,20.9420004,-73.6693812,18.2528,HUH,5-Jan,Henry Dunbar,36,NA,leaf at first node,3.310287506,5.233832248
67,1006,1973,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,1,35.46,16,Bahamas,Inagua,"Holy Family church grounds, Mathewtown, Inagua",20.9420004,-73.6693812,18.2528,HUH,18-Feb,"Walter Carbin SSJ,",1006,"Could not find actual church, so coordinates for Mathewtown",leaf at first node,3.568405301,5.954829972
68,1006,1973,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,2,44.512,NA,Bahamas,Inagua,"Holy Family church grounds, Mathewtown, Inagua",20.9420004,-73.6693812,18.2528,HUH,18-Feb,"Walter Carbin SSJ,",1006,"Could not find actual church, so coordinates for Mathewtown","leaf at third, can't count all leaflets",3.795758816,6.671731409
69,2132155,1952,North America,island,other,New Providence,NA,NA,1,31.537,14,Bahamas,NA,Along roadside on E of island,25.040249,-77.337173,21.2513,Smithsonian,3 Sep 1952 to 5 Sep 1952,"von Reis, S.",219,NA,NA,3.45116146,5.615781335
70,2432300,1960,North America,island,other,New Providence,NA,NA,1,26.985,16,Bahamas,NA,"sandy areas, Cable Beach",25.077913,-77.411604,21.2513,Smithsonian,5-Aug-60,"Webster, G. L.",10856,NA,NA,3.295281156,5.194708847
71,2432300,1960,North America,island,other,New Providence,NA,NA,2,34.099,16,Bahamas,NA,"sandy areas, Cable Beach",25.077913,-77.411604,21.2513,Smithsonian,5-Aug-60,"Webster, G. L.",10856,NA,NA,3.529268058,5.839434904
72,3004274,1977,North America,island,other,Bahamas,NA,NA,1,49.956,14,Bahamas,NA,Grand Turk: along beach playa on edge of town,22.864683,-74.788289,21.2513,Smithsonian,28-Nov-77,"Correll, D. S.",49177,NA,NA,3.911142618,7.067955857
73,3004274,1977,North America,island,other,Bahamas,NA,NA,2,33.24,18,Bahamas,NA,Grand Turk: along beach playa on edge of town,22.864683,-74.788289,21.2513,Smithsonian,28-Nov-77,"Correll, D. S.",49177,NA,NA,3.50375397,5.765414122
74,3640024,1977,North America,island,other,New Providence,NA,NA,1,36.447,16,Bahamas,New Providence,"New Providence: about old prison, Fort Charlotte, Nassau.",25.032287,-77.404644,21.2513,Smithsonian,22-Mar-77,"Correll, D. S.; Correll, H. B.",48234,NA,NA,3.595859151,6.037135082
75,3640024,1977,North America,island,other,New Providence,NA,NA,2,35.884,16,Bahamas,New Providence,"New Providence: about old prison, Fort Charlotte, Nassau.",25.032287,-77.404644,21.2513,Smithsonian,22-Mar-77,"Correll, D. S.; Correll, H. B.",48234,NA,NA,3.580291514,5.990325534
76,09.19.46 114,1962,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,1,41.281,16,Bahamas,NA,"Sandy gravel on boardwalk in front of the British Colonial Hotel, Nassu, New Providence Island",25.0779178,-77.3457637,18.2528,HUH,26-Dec,E.V Parsegian,NA,Coordinates for hotel,leaf at third node,3.720402346,6.425029183
77,09.19.46 114,1962,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,2,32.271,16,Bahamas,NA,"Sandy gravel on boardwalk in front of the British Colonial Hotel, Nassu, New Providence Island",25.0779178,-77.3457637,18.2528,HUH,26-Dec,E.V Parsegian,NA,Coordinates for hotel,leaf at first node,3.474168994,5.680756992
78,09.19.49 115,NA,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,2,22.648,12,Bahamas,NA,Bahama Islands,24.4344686,-75.9667161,18.2528,HUH,NA,Henry Bryaul,NA,No specified location within country,stem broken but both parts visible (measurements added together),3.120071548,4.75899149
79,756798,1913,North America,island,other,Virgin Gorda Island,NA,NA,1,29.511,12,British Virgin Islands,Virgin Gorda,Valley,18.479177,-64.403025,21.2459,Smithsonian,21-Feb-13,"Britton, N. L.; Fishlock, W. C.",1066,NA,NA,3.384763075,5.432402783
80,756798,1913,North America,island,other,Virgin Gorda Island,NA,NA,2,24.352,12,British Virgin Islands,Virgin Gorda,Valley,18.479177,-64.403025,21.2459,Smithsonian,21-Feb-13,"Britton, N. L.; Fishlock, W. C.",1066,NA,NA,3.192613982,4.934774564
81,1048056,1919,North America,island,other,Tortola Island,NA,NA,1,30.721,14,British Virgin Islands,Tortola,West End,18.411604,-64.663472,21.2513,Smithsonian,22-May-19,"Fishlock, W. C.",437,NA,NA,3.42494646,5.542652794
82,1048056,1919,North America,island,other,Tortola Island,NA,NA,2,41.665,14,British Virgin Islands,Tortola,West End,18.411604,-64.663472,21.2513,Smithsonian,22-May-19,"Fishlock, W. C.",437,NA,NA,3.729661448,6.454843143
83,1048056,1919,North America,island,other,Tortola Island,NA,NA,3,38.489,14,British Virgin Islands,Tortola,West End,18.411604,-64.663472,21.2513,Smithsonian,22-May-19,"Fishlock, W. C.",437,NA,NA,3.650372486,6.203950354
84,361,1902,North America,island,other,NA,NA,NA,1,17.31,12,Cuba,Santiago de Cuba,Vicinity of Santiago city,20.0243361,-75.8260967,18.2528,HUH,NA,Edward Palmer,361,NA,NA,2.851284369,4.160528813
85,566,1904,North America,island,other,NA,NA,NA,1,52.056,14,Cuba,La Habana,Waste ground near Havana Cuba,23.0506867,-82.3330021,18.2528,HUH,Dec,A.H Curtiss,566,NA,NA,3.952320062,7.214984407
86,566,1904,North America,island,other,NA,NA,NA,2,32.799,14,Cuba,La Habana,Waste ground near Havana Cuba,23.0506867,-82.3330021,18.2528,HUH,Dec,A.H Curtiss,566,NA,NA,3.490398027,5.727041121
87,6511,1949,North America,island,other,NA,NA,NA,1,13.053,10,Cuba, La Habana,"In the streets, Vista Alegre, Santiago Havana",23.1330881,-82.3704083,18.2528,HUH,Mar,Bro. Clemente,6511,"Can't find the specific neighbourhood on maps, coordinates for Santiago",NA,2.569017992,3.612893577
88,6511,1949,North America,island,other,NA,NA,NA,2,29.104,10,Cuba, La Habana,"In the streets, Vista Alegre, Santiago Havana",23.1330881,-82.3704083,18.2528,HUH,Mar,Bro. Clemente,6511,"Can't find the specific neighbourhood on maps, coordinates for Santiago",NA,3.370875622,5.394812323
89,14151,1800,North America,island,other,Cuba,NA,NA,1,28.847,16,Cuba,NA,NA,21.913806,-78.78432,21.2518,Smithsonian,1800 to 1899,"Wright, C.",s.n.,NA,1 leaf down the flower,3.362006001,5.370940327
90,372767,1900,North America,island,other,Cuba,NA,NA,1,33.686,14,Cuba,Pinar del Rio,Pinar del Rio,22.421178,-83.691508,21.2551,Smithsonian,11-May-00,"Palmer, W.; Riley, J. H.",742,NA,3 leaf down the flower,3.517082321,5.803964163
91,372767,1900,North America,island,other,Cuba,NA,NA,2,26.991,16,Cuba,Pinar del Rio,Pinar del Rio,22.421178,-83.691508,21.2551,Smithsonian,11-May-00,"Palmer, W.; Riley, J. H.",742,NA,NA,3.295503477,5.195286325
92,403124,1902,North America,island,other,Cuba,NA,NA,1,20.864,12,Cuba,Santiago de Cuba [Oriente],Santiago de Cuba [Oriente],20.024926,-75.828854,21.2551,Smithsonian,15 Feb 1902 to 24 Feb 1902,"Palmer, D. E.",361,NA,NA,3.038025186,4.567712776
93,403124,1902,North America,island,other,Cuba,NA,NA,2,17.997,12,Cuba,Santiago de Cuba [Oriente],Santiago de Cuba [Oriente],20.024926,-75.828854,21.2551,Smithsonian,15 Feb 1902 to 24 Feb 1902,"Palmer, D. E.",361,NA,NA,2.890205077,4.242287119
94,403124,1902,North America,island,other,Cuba,NA,NA,3,15.383,12,Cuba,Santiago de Cuba [Oriente],Santiago de Cuba [Oriente],20.024926,-75.828854,21.2551,Smithsonian,15 Feb 1902 to 24 Feb 1902,"Palmer, D. E.",361,NA,NA,2.733263004,3.922116775
95,522184,1904,North America,island,other,Cuba,NA,NA,1,35.046,14,Cuba,La Habana,"waste ground; near Havana, Cuba",23.107092,-82.363969,21.2551,Smithsonian,Dec,"Curtiss, A. H.",566,NA,NA,3.556661484,5.919966216
96,522184,1904,North America,island,other,Cuba,NA,NA,2,52.046,14,Cuba,La Habana,"waste ground; near Havana, Cuba",23.107092,-82.363969,21.2551,Smithsonian,Dec,"Curtiss, A. H.",566,NA,NA,3.952127943,7.214291372
97,2599739,NA,North America,island,other,Cuba,NA,NA,1,53.576,18,Cuba,NA,NA,21.913806,-78.78432,21.2513,Smithsonian,NA,"Seru, P.",s.n.,NA,NA,3.981101207,7.319562828
98,09.17.31 90,1860,North America,island,other,NA,NA,NA,1,52.14,16,Cuba,NA,NA,21.5152501,-79.5630001,18.2528,HUH,NA,C. Wright,NA,Coordinates for cuba as a whole due to no specific location or area on island,NA,3.953932409,7.220803279
99,09.17.31 90,1860,North America,island,other,NA,NA,NA,2,24.312,15,Cuba,NA,NA,21.5152501,-79.5630001,18.2528,HUH,NA,C. Wright,NA,Coordinates for cuba as a whole due to no specific location or area on island,NA,3.190970056,4.930720029
