ind_num,Herb_name,Herb_number,ID,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,flower_num,petal_length,country,province_state,location,latitude,longitude,scale,collection.date,collector,collection.no,Coordinate.notes,Measurer_note,Bio_1,Bio_4,Bio_12,Bio_15
39,Smithsonian,2760454,Smithsonian_2760454,1969,Asia,island,other,Sri Lanka,NA,NA,2,22.438,Sri Lanka,NA,"Ceylon, Colombo, Planted as an ornamental in U.S. Embassy grounds.",6.91317,79.848433,21.2513,20-Dec-69,"Fosberg, F. R.",51786,NA,NA,27.727705,56.47779083,2410.205566,54.37607574
40,Smithsonian,2760454,Smithsonian_2760454,1969,Asia,island,other,Sri Lanka,NA,NA,3,21.647,Sri Lanka,NA,"Ceylon, Colombo, Planted as an ornamental in U.S. Embassy grounds.",6.91317,79.848433,21.2513,20-Dec-69,"Fosberg, F. R.",51786,NA,NA,27.727705,56.47779083,2410.205566,54.37607574
41,Smithsonian,2762794,Smithsonian_2762794,1970,Asia,island,other,Sri Lanka,NA,NA,1,16.311,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.292604,80.630697,21.2513,28-Jul-70,"Dassanayake, M. D.",163,NA,NA,24.45833397,78.56188202,2339,39.08909607
42,Smithsonian,2762794,Smithsonian_2762794,1970,Asia,island,other,Sri Lanka,NA,NA,2,16.42,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.292604,80.630697,21.2513,28-Jul-70,"Dassanayake, M. D.",163,NA,NA,24.45833397,78.56188202,2339,39.08909607
43,Smithsonian,2832148,Smithsonian_2832148,1977,Asia,island,other,Sri Lanka,NA,NA,1,17.236,Sri Lanka,NA,"Ceylon, Anuradhapura District, Haberama, Planted in garden in hotel grounds near tank.",8.032151,80.752528,21.2513,30-Nov-77,"Fosberg, F. R.; Jayasinghe, P.",57014,NA,NA,26.77916718,141.3483582,1602,73.32549286
44,Smithsonian,2832148,Smithsonian_2832148,1977,Asia,island,other,Sri Lanka,NA,NA,2,20.566,Sri Lanka,NA,"Ceylon, Anuradhapura District, Haberama, Planted in garden in hotel grounds near tank.",8.032151,80.752528,21.2513,30-Nov-77,"Fosberg, F. R.; Jayasinghe, P.",57014,NA,NA,26.77916718,141.3483582,1602,73.32549286
45,Smithsonian,2832148,Smithsonian_2832148,1977,Asia,island,other,Sri Lanka,NA,NA,3,20.276,Sri Lanka,NA,"Ceylon, Anuradhapura District, Haberama, Planted in garden in hotel grounds near tank.",8.032151,80.752528,21.2513,30-Nov-77,"Fosberg, F. R.; Jayasinghe, P.",57014,NA,NA,26.77916718,141.3483582,1602,73.32549286
46,Smithsonian,2889416,Smithsonian_2889416,1978,Asia,island,other,Sri Lanka,NA,NA,1,18.504,Sri Lanka,Central,"Matale Distr., outskirt of Matale.",7.458651,80.625407,21.2513,27-Apr-78,"Soejarto, D. D.",4835,NA,NA,25.33749962,90.20492554,2006,48.55756378
47,Smithsonian,2889416,Smithsonian_2889416,1978,Asia,island,other,Sri Lanka,NA,NA,2,22.289,Sri Lanka,Central,"Matale Distr., outskirt of Matale.",7.458651,80.625407,21.2513,27-Apr-78,"Soejarto, D. D.",4835,NA,NA,25.33749962,90.20492554,2006,48.55756378
48,Smithsonian,2889416,Smithsonian_2889416,1978,Asia,island,other,Sri Lanka,NA,NA,3,20.732,Sri Lanka,Central,"Matale Distr., outskirt of Matale.",7.458651,80.625407,21.2513,27-Apr-78,"Soejarto, D. D.",4835,NA,NA,25.33749962,90.20492554,2006,48.55756378
49,HUH,4445,HUH_4445,1973,Oceania,island,other,NA,NA,NA,1,11.667,Australia,Queensland,East Hope Island,14.733333,145.466667,18.2528,4-Sep,D.R Stoddart,4445,Used Weigelt Et. Al coordinates for Lizard Island,only flower,25.6,,1711,91
50,HUH,491963,HUH_491963,1996,Oceania,continent,NA,NA,NA,NA,1,11.205,Australia,Queensland,"Dajarra Rd, 16.3km S of Mt Isa (by air); common along roadside",-20.866667,139.45,18.2528,27-Mar,A. Fraser,154,Provided with DDM coordinates,NA,24.18333244,511.7320557,437,94.08772278
51,HUH,491963,HUH_491963,1996,Oceania,continent,NA,NA,NA,NA,2,12.027,Australia,Queensland,"Dajarra Rd, 16.3km S of Mt Isa (by air); common along roadside",-20.866667,139.45,18.2528,27-Mar,A. Fraser,154,Provided with DDM coordinates,NA,24.18333244,511.7320557,437,94.08772278
52,HUH,491963,HUH_491963,1996,Oceania,continent,NA,NA,NA,NA,3,10.931,Australia,Queensland,"Dajarra Rd, 16.3km S of Mt Isa (by air); common along roadside",-20.866667,139.45,18.2528,27-Mar,A. Fraser,154,Provided with DDM coordinates,NA,24.18333244,511.7320557,437,94.08772278
53,HUH,1136,HUH_1136,1937,North America,island,other,Leeward Islands,NA,NA,1,15.942,Antigua and Barbuda,NA,"Hawes Island, among low grasses on dry calcareous soil",17.1166664,-61.7333333,18.2528,5-Oct,Harold. E Box,1136,NA,NA,26.77937889,107.2778702,1037.077026,39.31941223
54,HUH,1136,HUH_1136,1937,North America,island,other,Leeward Islands,NA,NA,2,16.01,Antigua and Barbuda,NA,"Hawes Island, among low grasses on dry calcareous soil",17.1166664,-61.7333333,18.2528,5-Oct,Harold. E Box,1136,NA,NA,26.77937889,107.2778702,1037.077026,39.31941223
55,Smithsonian,1714073,Smithsonian_1714073,1937,North America,island,other,Hawes island,NA,NA,1,19.199,Antigua and Barbuda,NA,"Hawes Island, among few grasses on dry calcareus soil, race confined to one restricted locality",17.112791,-61.727886,21.2513,5-Oct-37,"Box, H. E.",1136 Dupl.,NA,NA,26.77937889,107.2778702,1037.077026,39.31941223
56,Smithsonian,1714073,Smithsonian_1714073,1937,North America,island,other,Hawes island,NA,NA,2,13.474,Antigua and Barbuda,NA,"Hawes Island, among few grasses on dry calcareus soil, race confined to one restricted locality",17.112791,-61.727886,21.2513,5-Oct-37,"Box, H. E.",1136 Dupl.,NA,NA,26.77937889,107.2778702,1037.077026,39.31941223
57,Smithsonian,1714073,Smithsonian_1714073,1937,North America,island,other,Hawes island,NA,NA,3,12.989,Antigua and Barbuda,NA,"Hawes Island, among few grasses on dry calcareus soil, race confined to one restricted locality",17.112791,-61.727886,21.2513,5-Oct-37,"Box, H. E.",1136 Dupl.,NA,NA,26.77937889,107.2778702,1037.077026,39.31941223
58,HUH,36,HUH_36,1962,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,1,17.335,Bahamas,Inagua,Herbs in horse yards and waste places around Matthewtown,20.9420004,-73.6693812,18.2528,5-Jan,Henry Dunbar,36,NA,NA,25.97500038,160.8146973,739,46.47305298
59,HUH,36,HUH_36,1962,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,2,16.937,Bahamas,Inagua,Herbs in horse yards and waste places around Matthewtown,20.9420004,-73.6693812,18.2528,5-Jan,Henry Dunbar,36,NA,NA,25.97500038,160.8146973,739,46.47305298
60,HUH,36,HUH_36,1962,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,3,18.304,Bahamas,Inagua,Herbs in horse yards and waste places around Matthewtown,20.9420004,-73.6693812,18.2528,5-Jan,Henry Dunbar,36,NA,NA,25.97500038,160.8146973,739,46.47305298
61,HUH,935,HUH_935,1963,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,1,14.611,Bahamas,NA,"Nassau, New Providence Island",25.0325606,-77.4070931,18.2528,16-Aug,N.L.H Krauss,935,NA,no measurable associated leaf,25,260.1922607,1318,54.47172928
62,HUH,935,HUH_935,1963,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,2,15.351,Bahamas,NA,"Nassau, New Providence Island",25.0325606,-77.4070931,18.2528,16-Aug,N.L.H Krauss,935,NA,no measurable associated leaf,25,260.1922607,1318,54.47172928
63,HUH,1006,HUH_1006,1973,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,1,16.357,Bahamas,Inagua,"Holy Family church grounds, Mathewtown, Inagua",20.9420004,-73.6693812,18.2528,18-Feb,"Walter Carbin SSJ, ",1006,"Could not find actual church, so coordinates for Mathewtown",NA,25.97500038,160.8146973,739,46.47305298
64,HUH,1006,HUH_1006,1973,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,2,15.38,Bahamas,Inagua,"Holy Family church grounds, Mathewtown, Inagua",20.9420004,-73.6693812,18.2528,18-Feb,"Walter Carbin SSJ, ",1006,"Could not find actual church, so coordinates for Mathewtown",NA,25.97500038,160.8146973,739,46.47305298
65,Smithsonian,2132155,Smithsonian_2132155,1952,North America,island,other,New Providence,NA,NA,1,16.737,Bahamas,NA,Along roadside on E of island,25.040249,-77.337173,21.2513,3 Sep 1952 to 5 Sep 1952,"von Reis, S.",219,NA,NA,25.21666718,256.0569153,1267,54.56211472
66,Smithsonian,2432300,Smithsonian_2432300,1960,North America,island,other,New Providence,NA,NA,1,14.529,Bahamas,NA,"sandy areas, Cable Beach",25.077913,-77.411604,21.2513,5-Aug-60,"Webster, G. L.",10856,NA,NA,24.98857689,257.4388733,1306.007446,55.67808151
67,Smithsonian,2432300,Smithsonian_2432300,1960,North America,island,other,New Providence,NA,NA,2,16.978,Bahamas,NA,"sandy areas, Cable Beach",25.077913,-77.411604,21.2513,5-Aug-60,"Webster, G. L.",10856,NA,NA,24.98857689,257.4388733,1306.007446,55.67808151
68,Smithsonian,3004274,Smithsonian_3004274,1977,North America,island,other,Bahamas,NA,NA,1,26.753,Bahamas,NA,Grand Turk: along beach playa on edge of town,22.864683,-74.788289,21.2513,28-Nov-77,"Correll, D. S.",49177,NA,NA,25.92001343,211.1134491,839.3981323,52.61513138
69,Smithsonian,3004274,Smithsonian_3004274,1977,North America,island,other,Bahamas,NA,NA,2,24.816,Bahamas,NA,Grand Turk: along beach playa on edge of town,22.864683,-74.788289,21.2513,28-Nov-77,"Correll, D. S.",49177,NA,NA,25.92001343,211.1134491,839.3981323,52.61513138
70,Smithsonian,3640024,Smithsonian_3640024,1977,North America,island,other,New Providence,NA,NA,1,20.504,Bahamas,New Providence,"New Providence: about old prison, Fort Charlotte, Nassau.",25.032287,-77.404644,21.2513,22-Mar-77,"Correll, D. S.; Correll, H. B.",48234,NA,NA,25,260.1922607,1318,54.47172928
71,Smithsonian,3640024,Smithsonian_3640024,1977,North America,island,other,New Providence,NA,NA,2,21.35,Bahamas,New Providence,"New Providence: about old prison, Fort Charlotte, Nassau.",25.032287,-77.404644,21.2513,22-Mar-77,"Correll, D. S.; Correll, H. B.",48234,NA,NA,25,260.1922607,1318,54.47172928
72,HUH,09.19.46 114,HUH_09.19.46 114,1962,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,1,21.292,Bahamas,NA,"Sandy gravel on boardwalk in front of the British Colonial Hotel, Nassu, New Providence Island",25.0779178,-77.3457637,18.2528,26-Dec,E.V Parsegian,NA,Coordinates for hotel ,NA,25.15608597,252.6505585,1269.585815,55.93969345
73,HUH,09.19.46 114,HUH_09.19.46 114,1962,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,2,20.253,Bahamas,NA,"Sandy gravel on boardwalk in front of the British Colonial Hotel, Nassu, New Providence Island",25.0779178,-77.3457637,18.2528,26-Dec,E.V Parsegian,NA,Coordinates for hotel ,NA,25.15608597,252.6505585,1269.585815,55.93969345
74,HUH,09.19.49 115,HUH_09.19.49 115,NA,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,1,13.236,Bahamas,NA,Bahama Islands ,24.4344686,-75.9667161,18.2528,NA,Henry Bryaul,NA,No specified location within country Weigelt Et. Al Red Shank Kay coordinates for bioclim data,no measurable associated leaf,25,,1169,62
75,HUH,09.19.49 115,HUH_09.19.49 115,NA,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,2,14.36,Bahamas,NA,Bahama Islands ,24.4344686,-75.9667161,18.2528,NA,Henry Bryaul,NA,No specified location within country Weigelt Et. Al Red Shank Kay coordinates for bioclim data,NA,25,,1169,62
76,Smithsonian,756798,Smithsonian_756798,1913,North America,island,other,Virgin Gorda Island,NA,NA,1,18.466,British Virgin Islands,Virgin Gorda,Valley,18.479177,-64.403025,21.2459,21-Feb-13,"Britton, N. L.; Fishlock, W. C.",1066,NA,NA,24.80000114,107.0471497,1218,33.86133957
77,Smithsonian,1048056,Smithsonian_1048056,1919,North America,island,other,Tortola Island,NA,NA,1,15.758,British Virgin Islands,Tortola,West End,18.411604,-64.663472,21.2513,22-May-19,"Fishlock, W. C.",437,NA,NA,24.88333321,118.1934891,1270,33.93954849
78,HUH,361,HUH_361,1902,North America,island,other,Cuba,NA,NA,1,17.479,Cuba,Santiago de Cuba,Vicinity of Santiago city,20.0243361,-75.8260967,18.2528,NA,Edward Palmer,361,NA,NA,26.41250038,143.5923157,1147,49.14877701
79,HUH,566,HUH_566,1904,North America,island,other,Cuba,NA,NA,1,18.762,Cuba,La Habana,Waste ground near Havana Cuba,23.0506867,-82.3330021,18.2528,Dec,A.H Curtiss,566,NA,NA,24.82083321,216.0961304,1354,49.7870369
80,HUH,566,HUH_566,1904,North America,island,other,Cuba,NA,NA,2,19.227,Cuba,La Habana,Waste ground near Havana Cuba,23.0506867,-82.3330021,18.2528,Dec,A.H Curtiss,566,NA,NA,24.82083321,216.0961304,1354,49.7870369
81,HUH,6511,HUH_6511,1949,North America,island,other,Cuba,NA,NA,1,12.967,Cuba,Habana,"In the streets, Vista Alegre, Santiago Havana",23.1330881,-82.3704083,18.2528,Mar,Bro. Clemente,6511,"Can't find the specific neighbourhood on maps, coordinates for Santiago",NA,25.60833359,211.3574371,1268,43.83676529
82,HUH,6511,HUH_6511,1949,North America,island,other,Cuba,NA,NA,2,17.215,Cuba,Habana,"In the streets, Vista Alegre, Santiago Havana",23.1330881,-82.3704083,18.2528,Mar,Bro. Clemente,6511,"Can't find the specific neighbourhood on maps, coordinates for Santiago",NA,25.60833359,211.3574371,1268,43.83676529
83,Smithsonian,14151,Smithsonian_14151,1800,North America,island,other,Cuba,NA,NA,1,18.385,Cuba,NA,NA,21.913806,-78.78432,21.2434,NA,"Wright, C.",NA,NA,NA,25.21249962,199.0331726,1354,67.69700623
84,Smithsonian,14151,Smithsonian_14151,1800,North America,island,other,Cuba,NA,NA,2,20.057,Cuba,NA,NA,21.913806,-78.78432,21.2434,NA,"Wright, C.",NA,NA,NA,25.21249962,199.0331726,1354,67.69700623
85,HUH,17949,HUH_17949,1940,North America,island,other,Cuba,NA,NA,1,13.726,Cuba,Oriente ,Maisi,20.2270028,-74.1499257,18.2528,Jun,Bro. León,17949,NA,"only measurable flower, no measurable associated leaf (cannot see stem, or count all leaflets) ",26.05833244,154.2111053,970,40.89857101
86,Smithsonian,372767,Smithsonian_372767,1900,North America,island,other,Cuba,NA,NA,1,18.484,Cuba,Pinar del Rio,Pinar del Rio,22.421178,-83.691508,21.2518,11-May-00,"Palmer, W.; Riley, J. H.",742,NA,NA,24.82500076,211.1386719,1456,55.62989044
87,Smithsonian,372767,Smithsonian_372767,1900,North America,island,other,Cuba,NA,NA,2,23.253,Cuba,Pinar del Rio,Pinar del Rio,22.421178,-83.691508,21.2518,11-May-00,"Palmer, W.; Riley, J. H.",742,NA,NA,24.82500076,211.1386719,1456,55.62989044
88,Smithsonian,403124,Smithsonian_403124,1902,North America,island,other,Cuba,NA,NA,1,18.151,Cuba,Oriente,Santiago de Cuba [Oriente],20.024926,-75.828854,21.2518,15 Feb 1902 to 24 Feb 1902,"Palmer, D. E.",361,NA,NA,26.41250038,143.5923157,1147,49.14877701
89,Smithsonian,403124,Smithsonian_403124,1902,North America,island,other,Cuba,NA,NA,2,17.72,Cuba,Oriente,Santiago de Cuba [Oriente],20.024926,-75.828854,21.2518,15 Feb 1902 to 24 Feb 1902,"Palmer, D. E.",361,NA,NA,26.41250038,143.5923157,1147,49.14877701
