ind_num,ID,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,leaf_num,leaflet_length,number_of_leaflets,country,province_state,location,latitude,longitude,scale,herbarium,date,collector,collection.no,coordinate.notes,measurer_note,leaflet_length_log,leaflet_length_sqr
29,706203,1908,Asia,island,other,Philippines,NA,NA,2,8.776,11,Philippines,NA,Tayabas.,14.040984,121.630902,21.2584,Smithsonian,Apr,"Curran, H. M.",Forestry Bureau 1115,NA,NA,2.172020723,2.962431434
30,1725,1958,Asia,island,other,Sri Lanka,NA,NA,1,9.589,10,Sri Lanka,NA,"Peradeniya, Ceylon",NA,NA,18.2528,HUH,23-May,D.M.A Jayaweera,1725,Location unclear,NA,2.260616608,3.096611051
31,2698458,1970,Asia,island,other,Sri Lanka,NA,NA,1,6.835,12,Sri Lanka,NA,"Ceylon, Kandy District, Between Kandy and Peradeniya, Planted in front of Maternity Home.",7.281163,80.616968,21.2513,Smithsonian,8-Nov-70,"Fosberg, F. R.",52700,NA,1 leaf down the flower,1.92205647,2.614383292
32,2698458,1970,Asia,island,other,Sri Lanka,NA,NA,2,7.627,12,Sri Lanka,NA,"Ceylon, Kandy District, Between Kandy and Peradeniya, Planted in front of Maternity Home.",7.281163,80.616968,21.2513,Smithsonian,8-Nov-70,"Fosberg, F. R.",52700,NA,1 leaf down the flower,2.031694583,2.761702374
33,2698458,1970,Asia,island,other,Sri Lanka,NA,NA,3,9.677,12,Sri Lanka,NA,"Ceylon, Kandy District, Between Kandy and Peradeniya, Planted in front of Maternity Home.",7.281163,80.616968,21.2513,Smithsonian,8-Nov-70,"Fosberg, F. R.",52700,NA,NA,2.269751936,3.110787682
34,2721838,1970,Asia,island,other,Sri Lanka,NA,NA,1,6.904,12,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.289546,80.624859,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,NA,NA,1.932100954,2.627546384
35,2721838,1970,Asia,island,other,Sri Lanka,NA,NA,2,8.367,14,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.289546,80.624859,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,NA,NA,2.124295397,2.892576706
36,2721838,1970,Asia,island,other,Sri Lanka,NA,NA,3,10.542,12,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.289546,80.624859,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,NA,NA,2.355367278,3.246844622
37,2760454,1969,Asia,island,other,Sri Lanka,NA,NA,1,6.048,12,Sri Lanka,NA,"Ceylon, Colombo, Planted as an ornamental in U.S. Embassy grounds.",6.91317,79.848433,21.2513,Smithsonian,20-Dec-69,"Fosberg, F. R.",51786,NA,NA,1.799727639,2.459268184
38,2760454,1969,Asia,island,other,Sri Lanka,NA,NA,2,5.6,12,Sri Lanka,NA,"Ceylon, Colombo, Planted as an ornamental in U.S. Embassy grounds.",6.91317,79.848433,21.2513,Smithsonian,20-Dec-69,"Fosberg, F. R.",51786,NA,NA,1.722766598,2.366431913
39,2760454,1969,Asia,island,other,Sri Lanka,NA,NA,3,5.547,12,Sri Lanka,NA,"Ceylon, Colombo, Planted as an ornamental in U.S. Embassy grounds.",6.91317,79.848433,21.2513,Smithsonian,20-Dec-69,"Fosberg, F. R.",51786,NA,NA,1.713257241,2.355206997
40,2762794,1970,Asia,island,other,Sri Lanka,NA,NA,1,10.106,12,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.292604,80.630697,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,NA,NA,2.313129307,3.178993551
41,2762794,1970,Asia,island,other,Sri Lanka,NA,NA,2,9.84,12,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.292604,80.630697,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,NA,NA,2.286455711,3.136877428
42,2762794,1970,Asia,island,other,Sri Lanka,NA,NA,3,7.492,12,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.292604,80.630697,21.2513,Smithsonian,28-Jul-70,"Dassanayake, M. D.",163,NA,NA,2.013835785,2.737151804
43,2832148,1977,Asia,island,other,Sri Lanka,NA,NA,1,6.43,12,Sri Lanka,NA,"Ceylon, Anuradhapura District, Haberama, Planted in garden in hotel grounds near tank.",8.032151,80.752528,21.2513,Smithsonian,30-Nov-77,"Fosberg, F. R.; Jayasinghe, P.",57014,NA,NA,1.860974538,2.535744467
44,2832148,1977,Asia,island,other,Sri Lanka,NA,NA,2,5.67,12,Sri Lanka,NA,"Ceylon, Anuradhapura District, Haberama, Planted in garden in hotel grounds near tank.",8.032151,80.752528,21.2513,Smithsonian,30-Nov-77,"Fosberg, F. R.; Jayasinghe, P.",57014,NA,NA,1.735189118,2.38117618
45,2889416,1978,Asia,island,other,Sri Lanka,NA,NA,1,8.503,12,Sri Lanka,Central,"Matale Distr., outskirt of Matale.",7.458651,80.625407,21.2513,Smithsonian,27-Apr-78,"Soejarto, D. D.",4835,NA,NA,2.140419042,2.915990398
46,2889416,1978,Asia,island,other,Sri Lanka,NA,NA,2,7.817,14,Sri Lanka,Central,"Matale Distr., outskirt of Matale.",7.458651,80.625407,21.2513,Smithsonian,27-Apr-78,"Soejarto, D. D.",4835,NA,NA,2.056300849,2.79588984
47,2889416,1978,Asia,island,other,Sri Lanka,NA,NA,3,7.766,12,Sri Lanka,Central,"Matale Distr., outskirt of Matale.",7.458651,80.625407,21.2513,Smithsonian,27-Apr-78,"Soejarto, D. D.",4835,NA,NA,2.049755231,2.786754385
48,4445,1973,Oceania,island,other,NA,NA,NA,1,11.511,16,Australia,Queensland,East Hope Island,-15.44,145.466667,18.2528,HUH,4-Sep,D.R Stoddart,4445,DDM coordinates provided,leaf at third node- leaflet measured is closer to base than middle (middle ones are laterally folded),2.4433031,3.392786465
49,491963,1996,Oceania,mainland,NA,NA,NA,NA,1,12.557,18,Australia,Queensland,"Dajarra Rd, 16.3km S of Mt Isa (by air); common along roadside",-20.866667,139.45,18.2528,HUH,27-Mar,A. Fraser,154,Provided with DDM coordinates,NA,2.530278279,3.543585755
50,491963,1996,Oceania,mainland,NA,NA,NA,NA,2,7.804,18,Australia,Queensland,"Dajarra Rd, 16.3km S of Mt Isa (by air); common along roadside",-20.866667,139.45,18.2528,HUH,27-Mar,A. Fraser,154,Provided with DDM coordinates,NA,2.054636423,2.793564032
51,491963,1996,Oceania,mainland,NA,NA,NA,NA,3,12.89,18,Australia,Queensland,"Dajarra Rd, 16.3km S of Mt Isa (by air); common along roadside",-20.866667,139.45,18.2528,HUH,27-Mar,A. Fraser,154,Provided with DDM coordinates,NA,2.556451817,3.590264614
52,2094590,1948,Oceania,island,other,NA,NA,NA,1,12.427,12,Australia,Northern Territory,"Arnhem Land Aboriginal Reserve. Hemple Bay, Groote Eylandt, in the Gulf of Carpentaria.",-13.064283,133.984394,21.2513,Smithsonian,28-Apr-48,"Specht, R. L.",293,NA,NA,2.519871525,3.52519503
53,2094590,1948,Oceania,island,other,NA,NA,NA,2,10.573,10,Australia,Northern Territory,"Arnhem Land Aboriginal Reserve. Hemple Bay, Groote Eylandt, in the Gulf of Carpentaria.",-13.064283,133.984394,21.2513,Smithsonian,28-Apr-48,"Specht, R. L.",293,NA,NA,2.358303582,3.251614983
54,2094745,1948,Oceania,island,other,NA,NA,NA,1,13.755,14,Australia,Northern Territory,"Arnhem Land Aboriginal Reserve. South Bay, Bickerton Island, in the Gulf of Carpentaria.",-13.064283,133.984394,21.2513,Smithsonian,9-Jun-48,"Specht, R. L.",502,NA,NA,2.621402394,3.708773382
55,2094959,1948,Oceania,mainland,NA,NA,NA,NA,1,9.578,14,Australia,Northern Territory,Arnhem Land Aboriginal Reserve. Yirrkala. On seaward edge of coastal dune.,-13.064283,133.984394,21.2513,Smithsonian,5-Aug-48,"Specht, R. L.",826,NA,NA,2.259468802,3.094834406
56,1969031,1948,Oceania,island,other,New Caledonia,NA,NA,1,5.852,14,New Caledonia,NA,"Lawn of cottages, I. F. O., Anse Vata beach, Noumea.",-22.299596,166.440988,21.2513,Smithsonian,23-Mar-48,"Buchholz, J. T.",1780,NA,NA,1.766783483,2.419090738
57,1969031,1948,Oceania,island,other,New Caledonia,NA,NA,2,5.998,14,New Caledonia,NA,"Lawn of cottages, I. F. O., Anse Vata beach, Noumea.",-22.299596,166.440988,21.2513,Smithsonian,23-Mar-48,"Buchholz, J. T.",1780,NA,NA,1.79142608,2.44908146
58,1969031,1948,Oceania,island,other,New Caledonia,NA,NA,3,6.241,14,New Caledonia,NA,"Lawn of cottages, I. F. O., Anse Vata beach, Noumea.",-22.299596,166.440988,21.2513,Smithsonian,23-Mar-48,"Buchholz, J. T.",1780,NA,NA,1.831140426,2.498199352
59,1136,1937,North America,island,other,Leeward Islands,NA,NA,1,6.417,NA,Antigua and Barbuda,NA,"Hawes Island, among low grasses on dry calcareous soil",17.1166664,-61.7333333,18.2528,HUH,5-Oct,Harold. E Box,1136,NA,"leaf at first node, can't count all leaflets",1.858950719,2.53317982
60,1136,1937,North America,island,other,Leeward Islands,NA,NA,2,5.488,11,Antigua and Barbuda,NA,"Hawes Island, among low grasses on dry calcareous soil",17.1166664,-61.7333333,18.2528,HUH,5-Oct,Harold. E Box,1136,NA,leaf at first node- bit small comparatively,1.70256389,2.342648074
61,1714073,1937,North America,island,other,Hawes island,NA,NA,1,7.249,12,Antigua and Barbuda,NA,"Hawes Island, among few grasses on dry calcareus soil, race confined to one restricted locality",17.112791,-61.727886,21.2513,Smithsonian,5-Oct-37,"Box, H. E.",1136 Dupl.,NA,NA,1.980863528,2.692396702
62,1714073,1937,North America,island,other,Hawes island,NA,NA,2,5.6,12,Antigua and Barbuda,NA,"Hawes Island, among few grasses on dry calcareus soil, race confined to one restricted locality",17.112791,-61.727886,21.2513,Smithsonian,5-Oct-37,"Box, H. E.",1136 Dupl.,NA,NA,1.722766598,2.366431913
63,1714073,1937,North America,island,other,Hawes island,NA,NA,3,5.76,14,Antigua and Barbuda,NA,"Hawes Island, among few grasses on dry calcareus soil, race confined to one restricted locality",17.112791,-61.727886,21.2513,Smithsonian,5-Oct-37,"Box, H. E.",1136 Dupl.,NA,NA,1.750937475,2.4
64,36,1962,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,1,8.447,16,Bahamas,Inagua,Herbs in horse yards and waste places around Matthewtown,20.9420004,-73.6693812,18.2528,HUH,5-Jan,Henry Dunbar,36,NA,NA,2.133811349,2.906372309
65,36,1962,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,2,6.07,16,Bahamas,Inagua,Herbs in horse yards and waste places around Matthewtown,20.9420004,-73.6693812,18.2528,HUH,5-Jan,Henry Dunbar,36,NA,NA,1.803358605,2.463736999
66,36,1962,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,3,7.649,15,Bahamas,Inagua,Herbs in horse yards and waste places around Matthewtown,20.9420004,-73.6693812,18.2528,HUH,5-Jan,Henry Dunbar,36,NA,leaf at first node,2.03457492,2.765682556
67,1006,1973,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,1,9.433,16,Bahamas,Inagua,"Holy Family church grounds, Mathewtown, Inagua",20.9420004,-73.6693812,18.2528,HUH,18-Feb,"Walter Carbin SSJ,",1006,"Could not find actual church, so coordinates for Mathewtown",leaf at first node,2.24421418,3.071318935
68,1006,1973,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,2,12.235,NA,Bahamas,Inagua,"Holy Family church grounds, Mathewtown, Inagua",20.9420004,-73.6693812,18.2528,HUH,18-Feb,"Walter Carbin SSJ,",1006,"Could not find actual church, so coordinates for Mathewtown","leaf at third, can't count all leaflets",2.504300697,3.497856486
69,2132155,1952,North America,island,other,New Providence,NA,NA,1,6.991,14,Bahamas,NA,Along roadside on E of island,25.040249,-77.337173,21.2513,Smithsonian,3 Sep 1952 to 5 Sep 1952,"von Reis, S.",219,NA,NA,1.944623608,2.644049924
70,2432300,1960,North America,island,other,New Providence,NA,NA,1,5.234,16,Bahamas,NA,"sandy areas, Cable Beach",25.077913,-77.411604,21.2513,Smithsonian,5-Aug-60,"Webster, G. L.",10856,NA,NA,1.655175804,2.287793697
71,2432300,1960,North America,island,other,New Providence,NA,NA,2,8.763,16,Bahamas,NA,"sandy areas, Cable Beach",25.077913,-77.411604,21.2513,Smithsonian,5-Aug-60,"Webster, G. L.",10856,NA,NA,2.170538312,2.960236477
72,3004274,1977,North America,island,other,Bahamas,NA,NA,1,13.695,14,Bahamas,NA,Grand Turk: along beach playa on edge of town,22.864683,-74.788289,21.2513,Smithsonian,28-Nov-77,"Correll, D. S.",49177,NA,NA,2.617030803,3.700675614
73,3004274,1977,North America,island,other,Bahamas,NA,NA,2,4.767,18,Bahamas,NA,Grand Turk: along beach playa on edge of town,22.864683,-74.788289,21.2513,Smithsonian,28-Nov-77,"Correll, D. S.",49177,NA,NA,1.561717176,2.183346056
74,3640024,1977,North America,island,other,New Providence,NA,NA,1,7.943,16,Bahamas,New Providence,"New Providence: about old prison, Fort Charlotte, Nassau.",25.032287,-77.404644,21.2513,Smithsonian,22-Mar-77,"Correll, D. S.; Correll, H. B.",48234,NA,NA,2.072291038,2.818332841
75,3640024,1977,North America,island,other,New Providence,NA,NA,2,7.885,16,Bahamas,New Providence,"New Providence: about old prison, Fort Charlotte, Nassau.",25.032287,-77.404644,21.2513,Smithsonian,22-Mar-77,"Correll, D. S.; Correll, H. B.",48234,NA,NA,2.06496222,2.808024216
76,09.19.46 114,1962,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,1,9.875,16,Bahamas,NA,"Sandy gravel on boardwalk in front of the British Colonial Hotel, Nassu, New Providence Island",25.0779178,-77.3457637,18.2528,HUH,26-Dec,E.V Parsegian,NA,Coordinates for hotel,leaf at third node,2.290006311,3.142451272
77,09.19.46 114,1962,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,2,7.952,16,Bahamas,NA,"Sandy gravel on boardwalk in front of the British Colonial Hotel, Nassu, New Providence Island",25.0779178,-77.3457637,18.2528,HUH,26-Dec,E.V Parsegian,NA,Coordinates for hotel,leaf at first node,2.073423469,2.819929077
78,09.19.49 115,NA,North America,island,other,The Bahamas  (Lucayan Archipelago),NA,NA,2,7.192,12,Bahamas,NA,Bahama Islands,24.4344686,-75.9667161,18.2528,HUH,NA,Henry Bryaul,NA,No specified location within country,stem broken but both parts visible (measurements added together),1.972969297,2.681790447
79,756798,1913,North America,island,other,Virgin Gorda Island,NA,NA,1,11.401,12,British Virgin Islands,Virgin Gorda,Valley,18.479177,-64.403025,21.2459,Smithsonian,21-Feb-13,"Britton, N. L.; Fishlock, W. C.",1066,NA,NA,2.433701071,3.376536687
80,756798,1913,North America,island,other,Virgin Gorda Island,NA,NA,2,7.989,12,British Virgin Islands,Virgin Gorda,Valley,18.479177,-64.403025,21.2459,Smithsonian,21-Feb-13,"Britton, N. L.; Fishlock, W. C.",1066,NA,NA,2.078065595,2.826481912
81,1048056,1919,North America,island,other,Tortola Island,NA,NA,1,10.157,14,British Virgin Islands,Tortola,West End,18.411604,-64.663472,21.2513,Smithsonian,22-May-19,"Fishlock, W. C.",437,NA,NA,2.318163123,3.187004864
82,1048056,1919,North America,island,other,Tortola Island,NA,NA,2,11.949,14,British Virgin Islands,Tortola,West End,18.411604,-64.663472,21.2513,Smithsonian,22-May-19,"Fishlock, W. C.",437,NA,NA,2.480647593,3.456732561
83,1048056,1919,North America,island,other,Tortola Island,NA,NA,3,12.294,14,British Virgin Islands,Tortola,West End,18.411604,-64.663472,21.2513,Smithsonian,22-May-19,"Fishlock, W. C.",437,NA,NA,2.509111338,3.50628008
84,361,1902,North America,island,other,NA,NA,NA,1,6.015,12,Cuba,Santiago de Cuba,Vicinity of Santiago city,20.0243361,-75.8260967,18.2528,HUH,NA,Edward Palmer,361,NA,NA,1.794256349,2.452549694
85,566,1904,North America,island,other,NA,NA,NA,1,13.292,14,Cuba,La Habana,Waste ground near Havana Cuba,23.0506867,-82.3330021,18.2528,HUH,Dec,A.H Curtiss,566,NA,NA,2.58716235,3.645819524
86,566,1904,North America,island,other,NA,NA,NA,2,8.981,14,Cuba,La Habana,Waste ground near Havana Cuba,23.0506867,-82.3330021,18.2528,HUH,Dec,A.H Curtiss,566,NA,NA,2.195111235,2.99683166
87,6511,1949,North America,island,other,NA,NA,NA,1,4.042,10,Cuba, La Habana,"In the streets, Vista Alegre, Santiago Havana",23.1330881,-82.3704083,18.2528,HUH,Mar,Bro. Clemente,6511,"Can't find the specific neighbourhood on maps, coordinates for Santiago",NA,1.396739619,2.010472581
88,6511,1949,North America,island,other,NA,NA,NA,2,9.207,10,Cuba, La Habana,"In the streets, Vista Alegre, Santiago Havana",23.1330881,-82.3704083,18.2528,HUH,Mar,Bro. Clemente,6511,"Can't find the specific neighbourhood on maps, coordinates for Santiago",NA,2.219964064,3.034303874
89,14151,1800,North America,island,other,Cuba,NA,NA,1,7.657,16,Cuba,NA,NA,21.913806,-78.78432,21.2518,Smithsonian,1800 to 1899,"Wright, C.",s.n.,NA,1 leaf down the flower,2.035620262,2.767128476
90,372767,1900,North America,island,other,Cuba,NA,NA,1,8.47,14,Cuba,Pinar del Rio,Pinar del Rio,22.421178,-83.691508,21.2551,Smithsonian,11-May-00,"Palmer, W.; Riley, J. H.",742,NA,3 leaf down the flower,2.136530509,2.910326442
91,372767,1900,North America,island,other,Cuba,NA,NA,2,6.78,16,Cuba,Pinar del Rio,Pinar del Rio,22.421178,-83.691508,21.2551,Smithsonian,11-May-00,"Palmer, W.; Riley, J. H.",742,NA,NA,1.913977102,2.603843313
92,403124,1902,North America,island,other,Cuba,NA,NA,1,7.379,12,Cuba,Santiago de Cuba [Oriente],Santiago de Cuba [Oriente],20.024926,-75.828854,21.2551,Smithsonian,15 Feb 1902 to 24 Feb 1902,"Palmer, D. E.",361,NA,NA,1.998638128,2.716431483
93,403124,1902,North America,island,other,Cuba,NA,NA,2,6.579,12,Cuba,Santiago de Cuba [Oriente],Santiago de Cuba [Oriente],20.024926,-75.828854,21.2551,Smithsonian,15 Feb 1902 to 24 Feb 1902,"Palmer, D. E.",361,NA,NA,1.883882758,2.56495614
94,403124,1902,North America,island,other,Cuba,NA,NA,3,5.915,12,Cuba,Santiago de Cuba [Oriente],Santiago de Cuba [Oriente],20.024926,-75.828854,21.2551,Smithsonian,15 Feb 1902 to 24 Feb 1902,"Palmer, D. E.",361,NA,NA,1.777491497,2.432077301
95,522184,1904,North America,island,other,Cuba,NA,NA,1,8.803,14,Cuba,La Habana,"waste ground; near Havana, Cuba",23.107092,-82.363969,21.2551,Smithsonian,Dec,"Curtiss, A. H.",566,NA,NA,2.175092572,2.966985002
96,522184,1904,North America,island,other,Cuba,NA,NA,2,15.465,14,Cuba,La Habana,"waste ground; near Havana, Cuba",23.107092,-82.363969,21.2551,Smithsonian,Dec,"Curtiss, A. H.",566,NA,NA,2.738579406,3.93255642
97,2599739,NA,North America,island,other,Cuba,NA,NA,1,10.879,18,Cuba,NA,NA,21.913806,-78.78432,21.2513,Smithsonian,NA,"Seru, P.",s.n.,NA,NA,2.386834325,3.298332912
98,09.17.31 90,1860,North America,island,other,NA,NA,NA,1,10.415,16,Cuba,NA,NA,21.5152501,-79.5630001,18.2528,HUH,NA,C. Wright,NA,Coordinates for cuba as a whole due to no specific location or area on island,NA,2.343247075,3.227227913
99,09.17.31 90,1860,North America,island,other,NA,NA,NA,2,7.229,15,Cuba,NA,NA,21.5152501,-79.5630001,18.2528,HUH,NA,C. Wright,NA,Coordinates for cuba as a whole due to no specific location or area on island,NA,1.978100714,2.688679974
